photosynthesis per layer
umol-2s-1
    12.58    12.44    12.30    12.16    12.02    11.88    11.74    11.60    11.47    11.33    11.19    11.05    10.92    10.78    10.65    10.52    10.39    10.25    10.13    10.00     9.87     9.75     9.63     9.51     9.39     9.27     9.15     9.04     8.93     8.81     8.71     8.60     8.49     8.39     8.29     8.18     8.08     7.99     7.89     7.80     7.70     7.61     7.52     7.43     7.34     7.26     7.17     7.09     7.01     6.93     6.85     6.77     6.69     6.62     6.54     6.47     6.40     6.32     6.25     6.18     0.00
    12.82    12.68    12.54    12.40    12.26    12.13    11.99    11.85    11.72    11.58    11.45    11.32    11.19    11.06    10.93    10.80    10.67    10.55    10.42    10.30    10.18    10.06     9.93     9.82     9.70     9.58     9.47     9.35     9.24     9.13     9.02     8.91     8.80     8.70     8.59     8.49     8.39     8.29     8.19     8.10     8.00     7.91     7.82     7.73     7.64     7.55     7.46     7.38     7.29     7.21     7.13     7.05     6.97     6.89     6.82     6.74     6.67     6.59     6.52     6.45     0.00
    12.94    12.79    12.65    12.50    12.36    12.21    12.07    11.93    11.79    11.65    11.52    11.38    11.25    11.11    10.98    10.85    10.72    10.60    10.47    10.34    10.22    10.10     9.98     9.86     9.74     9.62     9.51     9.39     9.28     9.17     9.06     8.95     8.85     8.74     8.64     8.53     8.43     8.33     8.24     8.14     8.04     7.95     7.86     7.77     7.68     7.59     7.50     7.42     7.33     7.25     7.17     7.09     7.01     6.93     6.86     6.78     6.71     6.63     6.56     6.49     0.00
    12.97    12.81    12.65    12.49    12.33    12.17    12.01    11.86    11.71    11.56    11.41    11.26    11.11    10.97    10.82    10.68    10.54    10.40    10.26    10.13     9.99     9.86     9.73     9.59     9.47     9.34     9.21     9.09     8.97     8.85     8.73     8.61     8.50     8.38     8.27     8.16     8.05     7.95     7.84     7.74     7.64     7.54     7.44     7.35     7.25     7.16     7.07     6.98     6.90     6.81     6.73     6.65     6.57     6.49     6.41     6.34     6.27     6.20     6.13     6.06     0.00
    12.94    12.76    12.59    12.41    12.24    12.06    11.89    11.72    11.55    11.38    11.21    11.05    10.88    10.72    10.55    10.39    10.23    10.07     9.91     9.76     9.60     9.45     9.30     9.15     9.00     8.85     8.71     8.56     8.42     8.28     8.14     8.01     7.87     7.74     7.61     7.48     7.36     7.24     7.12     7.00     6.88     6.77     6.66     6.55     6.45     6.35     6.25     6.15     6.06     5.97     5.88     5.79     5.71     5.63     5.55     5.48     5.41     5.34     5.27     5.21     0.00
    12.89    12.70    12.50    12.31    12.12    11.93    11.74    11.55    11.36    11.17    10.98    10.79    10.60    10.41    10.23    10.04     9.85     9.67     9.48     9.30     9.12     8.94     8.76     8.58     8.40     8.23     8.06     7.89     7.72     7.55     7.39     7.23     7.07     6.92     6.77     6.62     6.47     6.33     6.19     6.06     5.93     5.80     5.67     5.55     5.44     5.32     5.22     5.11     5.01     4.91     4.82     4.73     4.65     4.57     4.49     4.42     4.35     4.28     4.22     4.17     0.00
    12.83    12.62    12.41    12.20    11.99    11.78    11.57    11.36    11.14    10.93    10.72    10.50    10.29    10.07     9.85     9.64     9.42     9.20     8.99     8.77     8.56     8.35     8.14     7.93     7.73     7.52     7.32     7.13     6.93     6.74     6.55     6.37     6.19     6.02     5.85     5.68     5.52     5.36     5.21     5.06     4.92     4.78     4.65     4.52     4.40     4.28     4.17     4.06     3.96     3.86     3.77     3.68     3.60     3.52     3.45     3.38     3.32     3.26     3.21     3.16     0.00
    12.68    12.44    12.20    11.95    11.70    11.45    11.19    10.93    10.66    10.39    10.12     9.84     9.56     9.28     9.00     8.72     8.43     8.15     7.87     7.60     7.32     7.05     6.79     6.53     6.28     6.03     5.79     5.56     5.33     5.11     4.90     4.69     4.49     4.30     4.12     3.94     3.77     3.61     3.46     3.31     3.17     3.03     2.91     2.78     2.67     2.56     2.46     2.36     2.27     2.19     2.11     2.03     1.97     1.90     1.85     1.80     1.75     1.71     1.67     1.64     0.00
    12.51    12.24    11.96    11.67    11.38    11.07    10.76    10.44    10.11     9.78     9.44     9.09     8.74     8.39     8.04     7.70     7.35     7.02     6.69     6.37     6.05     5.75     5.46     5.17     4.90     4.64     4.39     4.15     3.92     3.70     3.49     3.29     3.10     2.93     2.76     2.60     2.44     2.30     2.16     2.04     1.92     1.80     1.70     1.60     1.50     1.41     1.33     1.26     1.19     1.12     1.06     1.01     0.96     0.91     0.87     0.83     0.80     0.78     0.75     0.73     0.00
    12.30    12.00    11.68    11.35    11.01    10.65    10.27     9.89     9.49     9.08     8.67     8.26     7.84     7.43     7.03     6.64     6.26     5.89     5.53     5.19     4.87     4.56     4.26     3.98     3.71     3.46     3.23     3.00     2.79     2.59     2.41     2.23     2.07     1.92     1.77     1.64     1.51     1.40     1.29     1.18     1.09     1.00     0.92     0.84     0.77     0.70     0.64     0.59     0.54     0.49     0.45     0.41     0.37     0.34     0.31     0.29     0.27     0.25     0.24     0.23     0.00
