sensible heat flux per layer 
Wm-2
    75.33    75.72    76.12    76.53    76.95    77.38    77.82    78.27    78.72    79.19    79.66    80.14    80.62    81.11    81.59    82.08    82.57    83.06    83.54    84.03    84.51    84.99    85.47    85.94    86.41    86.87    87.33    87.78    88.23    88.68    89.11    89.55    89.97    90.39    90.81    91.22    91.62    92.02    92.41    92.79    93.17    93.55    93.92    94.28    94.63    94.99    95.33    95.67    96.01    96.34    96.67    96.99    97.30    97.61    97.92    98.22    98.52    98.82    99.11    99.39   166.43
    77.25    77.60    77.95    78.30    78.66    79.02    79.39    79.76    80.13    80.51    80.90    81.29    81.68    82.07    82.47    82.87    83.28    83.68    84.09    84.50    84.92    85.33    85.74    86.16    86.57    86.98    87.40    87.80    88.21    88.62    89.02    89.42    89.81    90.21    90.59    90.98    91.36    91.74    92.11    92.48    92.84    93.20    93.55    93.90    94.25    94.59    94.93    95.26    95.59    95.92    96.24    96.55    96.87    97.18    97.48    97.79    98.08    98.38    98.67    98.96   145.87
    76.39    76.65    76.90    77.16    77.42    77.69    77.95    78.22    78.49    78.77    79.04    79.32    79.60    79.88    80.16    80.45    80.74    81.02    81.31    81.61    81.90    82.19    82.49    82.78    83.08    83.37    83.67    83.96    84.26    84.56    84.85    85.15    85.44    85.73    86.03    86.32    86.61    86.90    87.19    87.47    87.76    88.04    88.32    88.60    88.88    89.16    89.44    89.71    89.99    90.26    90.53    90.80    91.07    91.34    91.61    91.88    92.15    92.42    92.69    92.96   118.96
    72.14    72.21    72.28    72.35    72.42    72.49    72.56    72.64    72.71    72.79    72.87    72.95    73.03    73.12    73.20    73.29    73.38    73.47    73.57    73.66    73.76    73.86    73.96    74.07    74.18    74.29    74.40    74.52    74.63    74.75    74.88    75.00    75.13    75.26    75.39    75.53    75.67    75.81    75.96    76.10    76.25    76.41    76.57    76.73    76.89    77.06    77.23    77.41    77.59    77.78    77.97    78.16    78.36    78.56    78.77    78.99    79.21    79.44    79.67    79.91    84.22
    67.69    67.59    67.49    67.38    67.28    67.17    67.06    66.95    66.85    66.74    66.64    66.54    66.44    66.34    66.25    66.16    66.07    65.99    65.91    65.84    65.77    65.70    65.64    65.59    65.54    65.50    65.46    65.43    65.41    65.39    65.38    65.37    65.37    65.38    65.39    65.41    65.44    65.48    65.52    65.57    65.62    65.69    65.76    65.84    65.93    66.02    66.13    66.24    66.36    66.49    66.63    66.78    66.94    67.11    67.29    67.48    67.68    67.90    68.13    68.36    58.88
    63.88    63.64    63.41    63.16    62.91    62.66    62.41    62.15    61.90    61.64    61.39    61.14    60.90    60.66    60.42    60.19    59.97    59.75    59.54    59.34    59.15    58.96    58.78    58.62    58.46    58.31    58.17    58.04    57.92    57.81    57.71    57.62    57.54    57.47    57.41    57.35    57.31    57.28    57.26    57.24    57.24    57.25    57.27    57.30    57.34    57.39    57.45    57.53    57.61    57.71    57.83    57.95    58.09    58.25    58.41    58.60    58.80    59.02    59.25    59.51    40.76
    60.67    60.35    60.02    59.67    59.32    58.96    58.60    58.23    57.87    57.50    57.14    56.78    56.43    56.08    55.74    55.41    55.09    54.79    54.49    54.20    53.93    53.67    53.42    53.18    52.95    52.74    52.54    52.35    52.17    52.00    51.84    51.70    51.56    51.44    51.32    51.22    51.13    51.04    50.97    50.91    50.86    50.83    50.80    50.79    50.79    50.80    50.83    50.87    50.93    51.00    51.09    51.20    51.32    51.47    51.63    51.82    52.03    52.26    52.52    52.80    28.10
    55.49    55.10    54.69    54.24    53.77    53.29    52.80    52.30    51.79    51.29    50.80    50.32    49.84    49.38    48.94    48.51    48.10    47.70    47.33    46.96    46.61    46.28    45.95    45.64    45.34    45.05    44.77    44.50    44.24    43.98    43.73    43.49    43.26    43.04    42.82    42.62    42.42    42.23    42.06    41.89    41.74    41.61    41.49    41.39    41.30    41.24    41.20    41.18    41.18    41.22    41.28    41.37    41.49    41.65    41.84    42.07    42.34    42.65    43.01    43.41    13.27
    51.29    50.96    50.55    50.10    49.60    49.07    48.52    47.97    47.41    46.85    46.31    45.78    45.27    44.78    44.31    43.85    43.41    42.98    42.57    42.16    41.77    41.38    40.99    40.61    40.23    39.86    39.48    39.11    38.73    38.36    37.99    37.63    37.27    36.92    36.57    36.23    35.91    35.60    35.30    35.02    34.76    34.52    34.30    34.11    33.95    33.82    33.72    33.65    33.62    33.64    33.69    33.79    33.94    34.14    34.40    34.71    35.08    35.52    36.03    36.61     6.01
    47.72    47.51    47.19    46.78    46.30    45.78    45.23    44.67    44.10    43.55    43.00    42.48    41.97    41.47    40.98    40.50    40.03    39.56    39.08    38.61    38.13    37.64    37.15    36.65    36.14    35.62    35.10    34.57    34.04    33.51    32.98    32.46    31.94    31.42    30.92    30.43    29.95    29.49    29.05    28.63    28.24    27.87    27.53    27.22    26.95    26.71    26.51    26.36    26.25    26.18    26.17    26.21    26.31    26.47    26.70    26.99    27.36    27.80    28.33    28.94     2.77
