A20WT1_1130,A20WT2_1130,A20WT3_1130,A20WT1_1230,A20WT2_1230,A20WT3_1230,A20WT1_1630,A20WT2_1630,A20WT3_1630,A20MG1_1130,A20MG2_1130,A20MG3_1130,A20MG1_1230,A20MG2_1230,A20MG3_1230,A20MG1_1630,A20MG2_1630,A20MG3_1630,A21WT1_1130,A21WT2_1130,A21WT3_1130,A21WT4_1130,A21WT5_1130,A21WT6_1130,A21WT1_1330,A21WT3_1330,A21WT2_1330,A21WT4_1330,A21WT5_1330,A21WT6_1330,A21WT1_1530,A21WT2_1530,A21WT3_1530,A21WT4_1530,A21WT5_1530,A21WT6_1530,A21WT1_1800,A21WT2_1800,A21WT3_1800,A21WT4_1800,A21WT5_1800,A21WT6_1800,A21MG1_1130,A21MG2_1130,A21MG3_1130,A21MG4_1130,A21MG5_1130,A21MG6_1130,A21MG1_1330,A21MG2_1330,A21MG3_1330,A21MG4_1330,A21MG5_1330,A21MG6_1330,A21MG1_1530,A21MG2_1530,A21MG3_1530,A21MG4_1530,A21MG5_1530,A21MG6_1530,A21MG1_1800,A21MG2_1800,A21MG3_1800,A21MG4_1800,A21MG5_1800,A21MG6_1800
28.220708,28.944701,29.864312,29.836865,29.631638,30.533573,23.23883,21.565905,15.595435,24.913491,25.82285,27.840657,29.229668,29.787709,30.162347,23.794025,25.033992,25.104827,26.149356,26.378436,26.382815,26.507348,26.643196,27.375272,29.664448,29.603924,29.588609,29.767019,29.157544,29.03577,28.149397,28.186243,27.730744,27.307197,26.806786,25.734753,14.007409,14.76999,14.446607,12.168526,11.351959,12.372151,24.001193,24.098563,24.953149,25.637645,25.686177,25.398791,29.183159,29.508967,29.795742,29.903515,29.482189,29.94091,28.233923,28.289203,28.526506,28.531613,28.117066,27.891848,16.199759,15.847977,15.761032,14.707428,13.665767,15.038225
30.408936,31.217382,32.067064,32.141249,31.87229,32.867332,25.283026,23.51585,17.021366,26.909776,27.896737,30.025409,31.461016,32.100449,32.418768,25.76545,27.109858,27.166527,28.262534,28.513856,28.587205,28.687946,28.847727,29.603079,31.983487,31.812462,31.861351,32.030763,31.335651,31.176346,30.328899,30.290369,29.896843,29.460774,28.981992,27.814553,15.449261,16.360227,15.960319,13.587109,12.571411,13.719978,26.087869,26.109954,27.105951,27.785206,27.797974,27.546825,31.426688,31.760578,32.0476,32.210659,31.7801,32.244159,30.43351,30.522186,30.716611,30.790089,30.318163,30.074929,17.757507,17.410174,17.278714,16.166838,15.052973,16.477265
32.618518,33.490872,34.357182,34.495715,34.21789,35.23651,27.423106,25.5419,18.537489,29.009383,30.043911,32.276353,33.816708,34.3799,34.812876,27.703232,29.229915,29.280887,30.46624,30.789776,30.769035,30.889229,31.077985,31.850024,34.355165,34.116084,34.233778,34.397496,33.594347,33.384968,32.630705,32.567285,32.200954,31.649926,31.131088,29.988886,16.921709,17.976277,17.518008,14.980792,13.852333,15.149728,28.206996,28.206035,29.296551,29.970416,29.952172,29.759309,33.788759,34.084433,34.337757,34.554424,34.143675,34.547797,32.656895,32.76362,32.988495,33.042145,32.582048,32.297345,19.458804,19.017118,18.804954,17.674796,16.428688,18.039686
35.129572,35.988008,36.927336,36.960447,36.729787,37.831744,29.798542,27.697905,20.134229,31.250722,32.379539,34.743665,36.329201,36.864841,37.418697,29.879751,31.54046,31.601431,32.87566,33.231218,33.198462,33.25451,33.520754,34.299152,36.875435,36.683879,36.831012,36.927743,36.154737,35.88862,35.1586,35.053982,34.698766,34.077674,33.456466,32.282572,18.608269,19.724981,19.278527,16.495932,15.272844,16.758739,30.506357,30.526528,31.675094,32.400453,32.381239,32.12537,36.370838,36.6475,36.832,37.128261,36.597695,37.084134,35.014297,35.200359,35.425062,35.506756,34.987639,34.727604,21.386788,20.795268,20.584616,19.434742,17.921127,19.80236
37.779563,38.639388,39.660434,39.644705,39.325195,40.544305,32.245151,29.96357,21.763692,33.534574,34.809492,37.306843,38.934199,39.485604,40.037106,32.157937,33.9881,33.986666,35.397567,35.725595,35.756314,35.767543,36.032373,36.882106,39.453058,39.326972,39.542983,39.515339,38.83073,38.467032,37.69533,37.600614,37.262514,36.663138,36.000518,34.661215,20.407914,21.596208,21.145549,18.110565,16.765282,18.417664,32.911489,32.972368,34.133575,34.919167,34.921081,34.659903,39.017164,39.275867,39.516662,39.83829,39.163526,39.741815,37.493235,37.723344,37.978234,38.119714,37.533138,37.240233,23.272812,22.668068,22.482718,21.310069,19.578983,21.655279
40.403015,41.33787,42.390159,42.343152,42.001078,43.221807,34.702746,32.283296,23.477319,35.879991,37.216859,39.925728,41.56758,42.111185,42.692217,34.462434,36.390883,36.455305,37.958664,38.294402,38.272714,38.328359,38.530009,39.456553,42.066271,41.966265,42.235916,42.201937,41.473101,41.053479,40.273163,40.330759,39.890947,39.242928,38.573591,37.119786,22.206427,23.512224,23.056417,19.736355,18.257055,20.078785,35.342481,35.455591,36.630028,37.470537,37.489793,37.23013,41.688112,41.922824,42.295127,42.50074,41.841837,42.424734,40.060286,40.246756,40.564127,40.726599,40.173632,39.768418,25.168335,24.579405,24.356681,23.132749,21.299806,23.584325
43.210218,44.219102,45.245265,45.145795,44.836926,46.069369,37.307039,34.807594,25.313642,38.369168,39.794283,42.708816,44.287903,44.931964,45.533247,36.908191,38.974456,39.124159,40.656141,41.013984,40.970407,41.081498,41.285431,42.190706,44.957119,44.806505,45.028542,45.052274,44.245681,43.876773,43.086078,43.184846,42.620345,41.932197,41.291948,39.706632,24.144717,25.614644,25.137242,21.528314,19.892157,21.937158,37.967647,38.06062,39.336629,40.162508,40.242003,39.893207,44.523854,44.767407,45.177048,45.254216,44.67772,45.34932,42.823298,42.937374,43.238625,43.502537,42.944627,42.50466,27.282079,26.640636,26.492485,25.107382,23.135795,25.630297
46.026542,47.047323,48.089439,47.986323,47.63502,48.929894,39.970689,37.318888,27.163392,40.909279,42.377325,45.443068,46.994239,47.77591,48.353857,39.282124,41.629568,41.741498,43.369618,43.700769,43.724762,43.837559,44.05452,44.979622,47.86718,47.61771,47.777205,47.838617,47.003517,46.663183,45.855073,45.883728,45.328707,44.626013,44.06905,42.303651,26.122756,27.768507,27.236368,23.41314,21.608799,23.815493,40.572569,40.629587,42.041033,42.831794,42.965713,42.577375,47.343351,47.53034,48.012407,48.088937,47.553586,48.240281,45.535087,45.655569,45.934403,46.291367,45.667436,45.256066,29.360065,28.732715,28.65113,27.145479,25.043736,27.678177
48.899374,49.935918,50.974082,50.900646,50.494974,51.876118,42.733947,39.880603,29.106371,43.592219,45.018066,48.270522,49.85348,50.677299,51.242515,41.717836,44.313116,44.442423,46.168344,46.517781,46.507714,46.56936,46.828196,47.842581,50.815056,50.441559,50.661089,50.68113,49.84814,49.488006,48.72577,48.743364,48.174642,47.428128,46.865862,45.038023,28.183073,29.955398,29.359667,25.331953,23.389712,25.77913,43.218565,43.283811,44.82762,45.654613,45.753483,45.350872,50.220199,50.385467,50.912612,51.041953,50.554143,51.1343,48.306934,48.486008,48.761295,49.094817,48.473674,48.060982,31.496239,30.899327,30.759202,29.220529,27.017553,29.816112
51.899603,52.971378,54.060376,53.952058,53.503859,54.96521,45.583523,42.590211,31.106941,46.341743,47.879933,51.291715,52.877651,53.713972,54.243026,44.358291,47.157775,47.274125,49.118796,49.494737,49.431839,49.451208,49.789872,50.865409,53.889689,53.445466,53.745964,53.691843,52.866051,52.530462,51.808525,51.796824,51.126454,50.436109,49.724022,47.868,30.357196,32.27084,31.634893,27.262654,25.230636,27.90626,46.041653,46.111254,47.763692,48.632867,48.689673,48.26391,53.240501,53.4891,53.955718,54.092416,53.579375,54.211428,51.265678,51.442303,51.724878,52.067793,51.438852,51.002174,33.840742,33.181634,33.078771,31.410701,29.06628,32.063917
