A20WT1_1130,A20WT2_1130,A20WT3_1130,A20WT1_1230,A20WT2_1230,A20WT3_1230,A20WT1_1630,A20WT2_1630,A20WT3_1630,A20MG1_1130,A20MG2_1130,A20MG3_1130,A20MG1_1230,A20MG2_1230,A20MG3_1230,A20MG1_1630,A20MG2_1630,A20MG3_1630,A21WT1_1130,A21WT2_1130,A21WT3_1130,A21WT4_1130,A21WT5_1130,A21WT6_1130,A21WT1_1330,A21WT3_1330,A21WT2_1330,A21WT4_1330,A21WT5_1330,A21WT6_1330,A21WT1_1530,A21WT2_1530,A21WT3_1530,A21WT4_1530,A21WT5_1530,A21WT6_1530,A21WT1_1800,A21WT2_1800,A21WT3_1800,A21WT4_1800,A21WT5_1800,A21WT6_1800,A21MG1_1130,A21MG2_1130,A21MG3_1130,A21MG4_1130,A21MG5_1130,A21MG6_1130,A21MG1_1330,A21MG2_1330,A21MG3_1330,A21MG4_1330,A21MG5_1330,A21MG6_1330,A21MG1_1530,A21MG2_1530,A21MG3_1530,A21MG4_1530,A21MG5_1530,A21MG6_1530,A21MG1_1800,A21MG2_1800,A21MG3_1800,A21MG4_1800,A21MG5_1800,A21MG6_1800
-4.8103537,-7.1134568,-4.3227253,-3.8629279,-4.3320034,-6.0907636,-2.0992191,-2.462691,-0.42880746,-9.1863707,-9.0065568,-1.7298699,-5.4376439,-7.8496382,-9.4936103,-3.1754101,-0.27694765,-4.7815396,-3.9644607,-4.8174526,-3.0459845,-4.1574548,-5.3077596,-3.4909112,-4.4986108,-3.5671584,-4.5298741,-5.3964663,-3.4114056,-4.3452715,-3.3290137,-3.8696416,-4.2915261,-4.6952001,-5.3788505,-4.6502462,-2.5388593,-3.1762165,-2.4490427,-0.87921847,-2.1094653,-2.9024586,-5.9170498,-4.5374304,-5.3958067,-5.6809549,-4.8389675,-5.8962574,-6.0337432,-5.9760296,-6.2318092,-6.9009399,-5.2992327,-4.8061495,-5.9624135,-6.0491652,-5.8514848,-5.2023506,-4.8430819,-5.0964653,-3.8874024,-3.2964412,-2.530522,-2.3276483,-1.836155,-1.8093794
-5.8647937,-3.9914002,-3.9503606,-4.0463303,-4.3587496,-6.9604272,-2.6116419,-1.4515861,-0.49361613,-9.1815625,-8.0540905,-2.0937491,-4.7931251,-6.3540499,-7.1142541,-3.2146987,-1.4252002,-4.306279,-4.4685124,-4.8356723,-4.283708,-5.1513046,-6.4364863,-5.320848,-5.3887635,-3.6420085,-5.5294412,-3.916204,-4.551081,-5.4658428,-4.2144169,-3.7913523,-5.5654611,-5.4893486,-4.7423642,-5.2064837,-2.8499426,-3.4102126,-2.7802131,-0.94468505,-1.9715771,-2.7585654,-7.5662191,-4.2773054,-2.9638768,-6.7829532,-5.4475623,-7.5169465,-5.6863547,-4.7288174,-5.0412385,-6.193328,-5.7517481,-5.04313,-6.078922,-7.3510189,-4.8811367,-7.3122161,-4.3319822,-6.6951101,-3.5995436,-2.7637785,-2.8647073,-2.4107676,-1.9283208,-1.6413619
-6.6277171,-7.2633697,-4.3007188,-4.4015097,-3.2712963,-7.3893555,-2.5728381,-1.7347852,-0.477104,-8.1004878,-9.5476528,-1.4534535,-5.6090883,-7.1294794,-8.576159,-3.2998941,-0.98279442,-4.2050919,-3.533703,-4.0550899,-3.3949555,-5.4454255,-6.5676384,-4.3491109,-4.2302169,-3.9091163,-5.6003691,-4.9357765,-4.21246,-4.7292692,-5.7524069,-4.095421,-4.6243683,-6.1152125,-4.6743417,-5.2717664,-2.2217442,-3.5260496,-2.2810564,-0.98484872,-2.4485729,-2.6405795,-5.7920529,-4.5278142,-3.3254917,-5.7299174,-6.9843388,-5.4188077,-6.901867,-4.954517,-4.9345874,-6.9509703,-6.0012402,-4.9589555,-7.6968076,-7.2438868,-5.0833573,-6.1069354,-3.2371686,-6.6000476,-4.285931,-2.7385528,-2.2529302,-2.843058,-1.9276596,-2.3513391
-7.0999064,-7.8570134,-4.9789052,-4.7252793,-3.2367821,-7.6060797,-2.1945469,-2.0775089,-0.40161496,-7.7485293,-10.325054,-1.3809716,-5.9956725,-6.8873771,-10.339086,-3.8100558,-1.0470823,-4.8840449,-3.547977,-3.5475552,-4.1151694,-5.7362807,-6.9310344,-4.1339764,-2.9938585,-4.0738338,-5.8057736,-6.4924201,-4.1656065,-5.1687885,-6.2037198,-4.1027009,-4.3508197,-6.2572328,-4.0404885,-5.3648852,-2.8009472,-3.5805976,-2.2345231,-1.2543801,-2.7549256,-2.6397691,-6.0495132,-4.9395727,-4.8301881,-5.7171876,-7.2457053,-4.9803242,-6.9714274,-5.4696713,-5.1634924,-7.6328761,-5.5739437,-4.8955963,-8.025659,-7.0731372,-6.1880415,-5.5021266,-3.3780107,-7.2509775,-5.0666525,-2.6173429,-2.4191221,-2.4301892,-1.5988795,-2.4896158
-6.6676624,-6.6252303,-5.4756061,-5.142449,-4.0489154,-7.2340006,-2.0180382,-2.0088533,-0.29730661,-9.0230971,-10.061282,-1.073633,-5.6578662,-5.9348758,-10.600824,-4.319383,-1.4135411,-5.7320255,-4.2927542,-3.9094565,-5.4033722,-6.0561174,-7.1625622,-4.735529,-2.708021,-3.9509877,-6.1577434,-6.9371571,-5.1150398,-5.9838485,-5.6964478,-3.6786094,-4.4056548,-6.0410016,-3.0562389,-6.0293379,-3.7218569,-3.424298,-2.701313,-1.7134421,-2.5696352,-2.7028456,-7.8757505,-5.4144902,-5.478639,-6.8020561,-6.5238048,-6.2793926,-6.033586,-5.598889,-5.5495496,-8.1088841,-5.5069311,-5.4404245,-7.2203954,-6.7355846,-7.147869,-6.0041878,-4.3261102,-8.412594,-4.910855,-2.5755321,-2.9497419,-1.7455447,-1.4127135,-2.0632462
-5.0929561,-9.2837503,-5.3617041,-5.7605237,-4.2416103,-6.0760165,-2.5240808,-1.7135417,-0.19718928,-11.550561,-10.262774,0.91746526,-5.4720235,-6.4273297,-9.4546326,-4.203565,-0.73784565,-5.6913745,-4.3049472,-5.0101619,-4.0392651,-6.1160115,-6.378061,-4.37994,-3.4005979,-3.6065908,-6.0833304,-5.5390028,-6.5892147,-4.6974667,-5.4331377,-3.1708963,-3.0386182,-5.767094,-2.7685866,-7.3985546,-2.8458517,-2.8786404,-2.9851361,-2.0872095,-2.0752921,-2.6985271,-7.5014218,-6.0372019,-3.9208537,-7.2155063,-6.4734207,-6.4736434,-6.0118342,-5.219253,-6.2696899,-8.9185533,-7.2203452,-6.9433158,-7.0949553,-5.5704919,-6.9144341,-6.0283405,-4.5764643,-8.3301789,-3.3359677,-3.1477669,-2.4480838,-2.1621855,-2.0258068,-1.9139784
-6.8629033,-8.4076614,-4.8686084,-5.0725049,-5.1252567,-7.7574027,-2.4899652,-2.1084951,0.036963036,-11.508648,-11.365429,-0.80975831,-6.9033849,-6.6297441,-11.05541,-4.9739116,-0.091574081,-5.2096938,-5.7874466,-4.2376859,-3.5371624,-6.211372,-7.1615194,-4.8480246,-3.4218494,-4.2207255,-5.8987571,-5.3694506,-5.4553772,-4.8328985,-4.6719363,-3.4553531,-3.7008006,-4.6984533,-3.859985,-6.9478672,-2.8628846,-2.4221447,-2.9761312,-1.7330422,-2.5011589,-2.6266758,-6.0993753,-7.1299283,-3.9764624,-7.4199428,-5.9537001,-8.0684369,-7.6870707,-5.4172169,-7.5241252,-8.4615217,-8.2847647,-7.628458,-6.7876171,-5.5898696,-7.6504968,-5.9996439,-6.157664,-7.2483263,-3.5896147,-3.8961457,-2.4466163,-2.7487322,-2.5715564,-1.9274377
-8.7909053,-7.8140175,-6.3118491,-4.0302827,-4.5151137,-7.7519756,-2.048524,-2.1595974,-0.37076492,-11.175943,-12.63368,-1.0861497,-7.3102671,-7.4821803,-11.17692,-5.3054002,-0.058116397,-5.5117885,-5.7497742,-4.3881528,-3.4588538,-6.5042109,-7.1278361,-5.2197066,-3.2481418,-4.728814,-5.5218744,-6.4412242,-3.9352594,-5.6533383,-4.1761467,-3.9165241,-4.6859712,-4.2908042,-4.3598353,-6.1359756,-3.4584345,-2.2719965,-3.0698974,-1.6436476,-2.7215312,-2.8266022,-6.649152,-6.3462615,-5.6683513,-7.6827186,-6.5050908,-7.9209772,-8.948395,-5.6873831,-7.4592444,-8.6879105,-7.8577396,-7.0673483,-6.8472085,-6.5449615,-7.9780631,-6.1954689,-6.6275242,-7.0989121,-4.1878219,-3.9010043,-2.8564018,-2.9719615,-2.5583282,-2.1776905
-8.7059859,-8.9905228,-8.0124855,-3.545611,-3.0925657,-6.3197258,-1.545996,-1.5445997,-1.0663997,-11.626785,-13.356242,0.2971585,-6.2616875,-8.4037347,-9.2756983,-4.6739264,-0.47086134,-6.5236252,-4.3915483,-5.5320042,-3.594044,-6.5928395,-6.3427246,-4.8264802,-3.7308867,-4.5182959,-5.2870538,-7.5687178,-3.8269207,-6.3141111,-4.4911079,-4.6645582,-4.9961648,-5.3198054,-4.2219408,-5.8371007,-4.1081131,-2.5818134,-3.2496636,-1.8888838,-2.6695042,-3.159733,-8.5452966,-4.8329263,-6.8939181,-8.1932839,-7.8109467,-6.5215818,-9.0849939,-6.2141467,-5.925243,-9.4163296,-6.7324396,-6.0959362,-7.2622882,-7.6222898,-7.7649688,-6.5818602,-5.720333,-7.8789529,-4.3800313,-3.4606305,-3.0575626,-3.0098273,-2.0273217,-2.4821003
-6.6652783,-9.7813231,-4.6417349,-4.1050453,-4.5174679,-9.1146901,-1.4149742,-0.95685395,-0.59861944,-11.93104,-13.165241,-2.2182922,-6.0665297,-7.2810346,-9.5149722,-3.7516505,-0.39050233,-6.7719022,-5.4235451,-4.6252367,-4.2544,-5.6709713,-7.6272695,-3.6607373,-5.6624308,-3.8068316,-5.9080178,-6.8475428,-5.5447668,-6.3516221,-5.6310445,-6.5056862,-4.9112219,-7.3546161,-5.5925545,-5.8466831,-4.3928657,-3.4065845,-3.0364088,-1.5088274,-3.4797713,-3.0324826,-7.5501229,-7.1160249,-4.3212601,-8.9248624,-7.5394228,-8.2525529,-9.1892619,-7.8036414,-4.8173914,-8.1353328,-7.0577731,-6.5602875,-7.3963981,-7.7998481,-8.4595411,-6.8122569,-5.7907189,-7.4370072,-4.6530098,-4.0762567,-2.1905668,-3.6747715,-1.577817,-2.444048
