A20WT1_1130,A20WT2_1130,A20WT3_1130,A20WT1_1230,A20WT2_1230,A20WT3_1230,A20WT1_1630,A20WT2_1630,A20WT3_1630,A20MG1_1130,A20MG2_1130,A20MG3_1130,A20MG1_1230,A20MG2_1230,A20MG3_1230,A20MG1_1630,A20MG2_1630,A20MG3_1630,A21WT1_1130,A21WT2_1130,A21WT3_1130,A21WT4_1130,A21WT5_1130,A21WT6_1130,A21WT1_1330,A21WT3_1330,A21WT2_1330,A21WT4_1330,A21WT5_1330,A21WT6_1330,A21WT1_1530,A21WT2_1530,A21WT3_1530,A21WT4_1530,A21WT5_1530,A21WT6_1530,A21WT1_1800,A21WT2_1800,A21WT3_1800,A21WT4_1800,A21WT5_1800,A21WT6_1800,A21MG1_1130,A21MG2_1130,A21MG3_1130,A21MG4_1130,A21MG5_1130,A21MG6_1130,A21MG1_1330,A21MG2_1330,A21MG3_1330,A21MG4_1330,A21MG5_1330,A21MG6_1330,A21MG1_1530,A21MG2_1530,A21MG3_1530,A21MG4_1530,A21MG5_1530,A21MG6_1530,A21MG1_1800,A21MG2_1800,A21MG3_1800,A21MG4_1800,A21MG5_1800,A21MG6_1800
-2.3408781,-4.0606268,-9.7212789,-2.6393029,-9.6055786,-18.562922,-0.16370361,-15.330959,-1.6215279,-19.865581,-8.5947507,-4.4702726,-7.6332985,-8.9892402,-18.184065,-0.63009012,-4.0576657,-4.1450716,-4.7164272,-4.4270159,3.0539666,-9.2299123,-8.370373,-0.34010347,-7.0532809,-9.5275094,-2.4176615,-12.518882,-10.418218,-6.0932661,-5.4647853,-4.8103798,-3.5218951,-8.5585211,-1.5345288,-14.03874,-2.8625589,-0.84151424,-5.295058,-2.1655044,0.21079968,-4.268135,-2.1433661,-10.654919,-7.4101563,-5.7136279,-6.9877744,-10.908233,-6.1106708,-22.136778,-5.3320657,-7.0509375,-4.948014,-7.046154,-7.5445275,-5.294032,-8.3091709,-13.675631,-7.870041,-4.0198789,-2.3694468,-4.2950807,-2.2928391,-1.8613619,-2.5407082,-1.0384883
-2.5495242,-4.1917609,-9.4926307,-2.6854456,-10.427867,-19.033594,0.084947639,-16.34421,-1.688335,-20.242626,-8.698387,-5.6112716,-7.9240876,-8.964439,-18.596256,0.20807468,-4.0263987,-4.3167327,-4.7436715,-5.6655428,1.4040049,-9.1837788,-6.5847965,-0.87419099,-8.1387256,-10.767113,-3.2657585,-12.408292,-9.6379574,-7.0059176,-5.6934948,-5.5884723,-4.8534257,-7.8260988,-1.6238346,-15.39491,-2.4193093,-1.4275633,-5.192553,-1.5764964,0.18889221,-5.0281548,-3.6212902,-10.321494,-8.1462801,-5.8871207,-8.4396826,-12.790366,-7.060035,-23.02569,-6.1783097,-7.5840113,-4.9172879,-7.9975825,-7.5142677,-5.8589367,-7.8119484,-14.75418,-9.0536456,-5.487111,-2.4544496,-4.2115991,-1.7396228,-2.9213777,-2.7792678,-1.3898413
-1.9125804,-6.3527384,-9.339374,-3.8949583,-10.092603,-19.252204,0.16799489,-16.744299,-1.187714,-22.793029,-8.7080313,-4.9674711,-8.529821,-6.9440061,-20.557027,0.15071813,-3.7090235,-5.453583,-4.7171547,-5.9471537,1.5576736,-8.7554671,-7.6939887,-0.32315546,-6.9598455,-11.349612,-3.2441749,-13.531653,-10.769256,-7.4407091,-5.5061215,-5.6601308,-5.4526074,-8.5635994,-1.5153339,-16.180508,-2.2837199,-1.4976453,-4.7408174,-1.4640255,0.38999954,-4.792018,-1.7979067,-11.825152,-7.7507373,-6.9166658,-8.4897696,-12.402435,-6.0133039,-22.331159,-6.0889245,-7.7976738,-4.5882482,-7.8521784,-7.7029199,-6.5590289,-7.8642989,-15.665425,-9.6322766,-5.6052815,-2.9808696,-4.160988,-0.68576301,-2.2042719,-3.1927102,-1.3361672
-2.0092468,-7.7875364,-10.130611,-3.7267048,-8.7250715,-19.905441,0.017978019,-17.396983,-0.87328997,-23.179641,-9.3518167,-4.1167261,-7.6702286,-7.9662266,-21.122443,-0.15934757,-3.9396442,-6.1777291,-5.1465635,-6.0862524,0.92426357,-9.5234928,-7.331912,0.36834365,-6.6279509,-11.331706,-3.0439236,-13.622665,-11.76224,-7.1899188,-5.5373196,-5.3677438,-5.1769485,-8.9663458,-1.2396392,-16.355728,-1.7133675,-1.5988925,-4.9250631,-1.6981178,0.47439506,-4.7625253,-1.4955624,-12.592256,-7.3299889,-7.3164147,-7.7970308,-11.637637,-5.7495015,-22.120151,-6.055008,-8.2162948,-5.3407754,-7.4314209,-7.7579708,-6.20636,-8.5819935,-15.43835,-9.3775091,-5.6572297,-3.2931726,-4.4349867,-0.91001298,-2.0332375,-2.4487204,-1.2326177
-2.2599582,-7.3261649,-11.195575,-3.1985771,-7.9514353,-21.380129,-0.10248938,-18.140951,-0.98864312,-22.361018,-10.438514,-4.07969,-6.4829369,-10.579119,-20.833731,-0.13775686,-4.7166347,-6.1977815,-5.4627455,-5.9855849,0.17727692,-10.595327,-6.365459,1.0022316,-7.5198152,-11.257066,-3.3637525,-13.375914,-12.375709,-7.1614554,-5.9978273,-5.1525533,-4.6909426,-9.2175061,-1.3506616,-16.546259,-1.1507376,-1.7987895,-5.5993124,-1.9362224,0.46012615,-5.1124555,-2.793946,-12.109658,-7.5653713,-6.8329719,-7.2760442,-11.83864,-6.1692906,-23.26196,-6.1789492,-8.6911837,-6.4842207,-7.5442788,-7.920019,-5.6336894,-9.3690469,-15.001181,-8.7722519,-6.0887254,-3.2773396,-4.8632876,-2.2091968,-2.5095273,-1.5628117,-1.0640825
-1.3464847,-5.5609579,-11.262915,-4.780127,-9.5866796,-23.414786,0.069608848,-18.350546,-1.3820219,-24.062258,-11.189062,-5.0910688,-7.4314158,-10.066677,-22.065567,0.41438761,-5.4138932,-5.9127758,-4.853477,-5.2470454,1.3871609,-10.139401,-8.0587924,1.6488946,-8.2880726,-11.810946,-4.5810025,-14.856657,-13.316452,-8.3618131,-6.607222,-5.3915125,-4.9297743,-10.451945,-2.3240287,-17.563993,-1.4407811,-1.7883453,-5.8875031,-1.8395812,0.52952632,-5.3917502,-2.9587148,-11.536202,-8.4749883,-6.4278443,-7.8311893,-13.380932,-5.7710339,-25.311762,-6.0137162,-8.760362,-6.4525071,-8.7429431,-8.7127699,-6.4283335,-9.382318,-15.893496,-8.7873607,-6.6577409,-3.3001353,-4.9773644,-3.1370845,-2.4890711,-2.452716,-0.74600083
-3.064732,-6.4119501,-12.30283,-4.4974209,-10.807204,-23.015593,-0.60156593,-18.693855,-1.7296926,-26.031299,-11.320701,-5.1239711,-9.0633928,-9.7729611,-23.180676,-0.39050911,-4.9835113,-5.1389033,-5.3580523,-5.0750777,1.7967413,-11.021367,-7.7533973,0.66407242,-9.1746576,-12.616183,-5.344451,-16.14418,-13.141177,-7.5522038,-5.726308,-5.534928,-4.7901485,-11.120999,-1.8167808,-18.659265,-1.0100947,-0.76626062,-5.2036489,-2.016118,0.3515712,-5.778051,-2.4109761,-13.178092,-7.687991,-9.4575456,-9.3560802,-13.051405,-7.0521475,-25.035993,-5.3479347,-8.6293564,-7.3630924,-10.336678,-10.009304,-6.0242311,-9.1916807,-14.917841,-10.671824,-6.3438087,-4.2054943,-4.17836,-3.2281431,-2.7760198,-2.990494,-1.6017254
-2.4319801,-7.1679463,-12.252098,-3.849528,-11.156403,-22.989714,-0.88715651,-19.276093,-1.5925533,-27.422625,-11.310461,-5.5967014,-9.6814135,-9.5343949,-22.883025,-0.44753636,-4.3874116,-4.7077631,-6.3016341,-5.5856658,1.346015,-11.392192,-8.3582804,0.58396629,-9.3740696,-12.929594,-4.7164419,-16.938918,-13.131781,-7.2046459,-5.641494,-6.1826133,-5.3533861,-10.713595,-1.7379604,-18.812038,-1.2173485,-0.52826436,-5.1061617,-1.9441787,0.33177401,-5.9647933,-2.475554,-14.608303,-7.7048423,-9.6279046,-9.8456541,-13.406057,-7.5682674,-25.384927,-5.4721678,-9.4438642,-7.4147134,-11.305733,-11.068711,-6.8944031,-10.134031,-15.501276,-11.580119,-6.8441022,-5.4088476,-4.6947533,-2.4788318,-2.5320532,-3.1506273,-1.4186816
0.16683648,-7.1197988,-11.144977,-3.9356094,-10.954172,-24.378907,-0.42793992,-19.894726,-1.3146803,-28.136607,-12.021844,-6.6298843,-9.562202,-9.5899623,-21.939131,0.57072125,-3.8899448,-5.0720706,-6.7883175,-5.9600957,0.72059508,-11.082536,-9.9333163,1.4413977,-9.1567119,-12.744519,-3.4406105,-17.050764,-13.685675,-7.4569088,-6.7957215,-7.0658856,-6.2740339,-10.112447,-2.737332,-18.1713,-2.1094559,-1.5033468,-6.051465,-1.6535675,0.59929339,-5.7270502,-3.3530854,-14.680307,-8.8606961,-6.8690664,-9.3057961,-14.371461,-6.8080909,-27.463521,-6.5141223,-10.818049,-6.6939044,-11.22296,-11.537231,-8.4696432,-11.699256,-17.68482,-10.716592,-8.0937764,-6.0572122,-6.36684,-1.6635455,-1.9096943,-3.0166779,-0.21832717
-1.6869035,-8.2234657,-11.590164,-4.757676,-11.121116,-25.739246,-0.00375755,-20.149601,-1.9052299,-28.795806,-14.237165,-6.7363589,-10.898979,-10.768606,-23.113272,0.77453011,-2.9296104,-6.0756287,-6.1654232,-4.8610662,1.0293136,-12.048981,-9.1225367,0.41928174,-9.8614947,-12.863971,-3.7951746,-16.379612,-13.999412,-5.7356209,-7.2732936,-7.0268164,-5.6984533,-11.365722,-3.6386107,-18.129615,-2.1861275,-2.3702313,-7.0591324,-1.7983484,0.89032194,-5.0505313,-3.9062488,-14.274249,-8.8405273,-8.2201137,-9.9412528,-12.918876,-6.6827809,-29.615223,-7.2118688,-10.762701,-7.393967,-10.436866,-11.574066,-6.9367481,-11.528608,-17.597036,-9.9710317,-8.0179556,-5.3559749,-6.4119165,-2.080172,-2.1686042,-2.6317988,-0.55088155
