%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=216069, 2022/07/21 16:55:39.70)
1 8 4.397043e+01 4.613672e+01  1.078669759065087064e+01  1.078669759065087064e+01  1.339867986010197853e+01  2.276212212914737520e+01
2 15 4.380512e+01 4.722274e+01  1.078669759065087064e+01  1.407480018411433775e+01  2.061599679851619271e+01  2.451421854734641670e+01
3 22 4.915957e+01 3.926159e+01  1.078669759065087064e+01  1.194102174646078929e+01  1.962019796985707032e+01  2.014210292808776970e+01
4 29 3.922907e+01 3.721278e+01  1.078669759065087064e+01  1.293342918086394100e+01  2.014210292808776970e+01  2.359440405984137712e+01
5 36 3.609329e+01 3.444252e+01  1.078669759065087064e+01  1.091874640609933955e+01  1.805454589118390629e+01  2.014210292808776970e+01
6 43 3.744290e+01 2.887797e+01  1.078669759065087064e+01  1.127192790836745750e+01  1.472116249039154035e+01  2.014210292808776970e+01
7 50 2.863652e+01 2.775479e+01  1.078669759065087064e+01  1.091980451432002930e+01  1.477497237212307191e+01  2.793169212445912564e+01
8 57 2.592582e+01 2.438943e+01  1.078669759065087064e+01  1.086466066436116051e+01  1.193853458955052815e+01  1.538341149389937179e+01
9 64 2.426400e+01 2.518178e+01  1.078669759065087064e+01  1.145918689049964456e+01  1.441827301148027729e+01  2.047672364346866303e+01
10 71 1.989574e+01 2.552679e+01  1.078669759065087064e+01  1.091026012454087635e+01  1.180132757100149732e+01  1.575199672787775640e+01
11 78 1.525500e+01 2.523648e+01  1.078669759065087064e+01  1.090371699097360114e+01  1.119427163395866565e+01  1.746438871056918174e+01
12 85 1.282126e+01 2.479353e+01  1.078669759065087064e+01  1.078682532192395627e+01  1.144026992564611334e+01  1.318800388665372658e+01
13 92 1.480834e+01 1.893112e+01  1.078669759065087064e+01  1.079393551181049027e+01  1.093254656548342041e+01  1.120446530972762922e+01
14 99 1.347318e+01 1.795320e+01  1.078669759065087064e+01  1.078682828024658313e+01  1.098502269560411548e+01  1.120184617674291516e+01
15 106 1.159914e+01 1.627597e+01  1.078656843576751356e+01  1.078656843576751356e+01  1.087398343363924980e+01  1.155080332718558900e+01
16 113 1.456151e+01 1.153785e+01  1.078656843576751356e+01  1.086187295040751088e+01  1.105304584248917621e+01  1.111995748522164718e+01
17 120 1.501151e+01 1.019491e+01  1.078654061232854033e+01  1.078654061232854033e+01  1.094500044762945201e+01  1.136021244782715023e+01
18 127 1.192059e+01 9.704615e+00  1.078654061232854033e+01  1.078955458825769753e+01  1.080113822289723124e+01  1.116786596364085860e+01
19 134 1.161236e+01 8.573071e+00  1.078654061232854033e+01  1.079004987788574077e+01  1.092169425991587062e+01  1.176298145880962664e+01
20 141 9.116404e+00 8.358116e+00  1.078654061232854033e+01  1.078918971230291568e+01  1.088136928346761323e+01  1.098646681483117149e+01
21 148 8.498383e+00 7.646782e+00  1.078654061232854033e+01  1.079954340581240402e+01  1.081644159622003087e+01  1.087937148528084919e+01
22 155 7.527016e+00 6.760958e+00  1.078654061232854033e+01  1.078687497939246143e+01  1.079389217505351439e+01  1.080657158098106763e+01
23 162 7.729116e+00 5.443523e+00  1.078654061232854033e+01  1.078722933029719755e+01  1.080911265039472013e+01  1.086590616429290890e+01
24 169 6.067057e+00 5.162108e+00  1.078650430238516478e+01  1.078650430238516478e+01  1.078954235492849989e+01  1.085326260921346808e+01
25 176 4.589656e+00 5.152930e+00  1.078650430238516478e+01  1.078676030430510480e+01  1.078783115905024914e+01  1.081501037802951082e+01
26 183 3.406562e+00 5.210884e+00  1.078650430238516478e+01  1.078663948155956653e+01  1.078736069301588962e+01  1.080425193039661025e+01
