%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=216069, 2022/07/21 16:55:39.70)
1 8  1.078669759065087064e+01 0 0 2.695862e+01 3.445054e+00 
2 15  1.407480018411433775e+01 0 0 1.240267e+01 3.398949e+00 
3 22  1.194102174646078929e+01 0 0 3.379350e+01 3.859121e+00 
4 29  1.293342918086394100e+01 0 0 3.644697e+01 2.766053e+00 
5 36  1.091874640609933955e+01 0 0 2.927616e+01 1.964421e+00 
6 43  1.127192790836745750e+01 0 0 2.072288e+01 1.681279e+00 
7 50  1.091980451432002930e+01 0 0 2.480230e+01 2.196093e+00 
8 57  1.086466066436116051e+01 0 0 2.875782e+01 3.152365e+00 
9 64  1.145918689049964456e+01 0 0 1.974298e+01 2.792011e+00 
10 71  1.091026012454087635e+01 0 0 2.920292e+01 2.462227e+00 
11 78  1.090371699097360114e+01 0 0 2.494268e+01 2.790838e+00 
12 85  1.078682532192395627e+01 0 0 2.693406e+01 2.661700e+00 
13 92  1.079393551181049027e+01 0 0 2.651603e+01 2.391385e+00 
14 99  1.078682828024658313e+01 0 0 2.693355e+01 2.319066e+00 
15 106  1.078656843576751356e+01 0 0 2.699470e+01 2.610018e+00 
16 113  1.086187295040751088e+01 0 0 2.872686e+01 2.939186e+00 
17 120  1.078654061232854033e+01 0 0 2.708060e+01 2.812289e+00 
18 127  1.078955458825769753e+01 0 0 2.738176e+01 3.020239e+00 
19 134  1.079004987788574077e+01 0 0 2.667926e+01 3.095908e+00 
20 141  1.078918971230291568e+01 0 0 2.672654e+01 3.142467e+00 
21 148  1.079954340581240402e+01 0 0 2.774279e+01 3.098734e+00 
22 155  1.078687497939246143e+01 0 0 2.716155e+01 2.889674e+00 
23 162  1.078722933029719755e+01 0 0 2.720852e+01 3.201645e+00 
24 169  1.078650430238516478e+01 0 0 2.704455e+01 2.941659e+00 
25 176  1.078676030430510480e+01 0 0 2.694579e+01 3.032843e+00 
26 183  1.078663948155956653e+01 0 0 2.711488e+01 3.038843e+00 
27 190  1.078657210568559144e+01 0 0 2.709412e+01 2.992181e+00 
28 197  1.078651551555934951e+01 0 0 2.706423e+01 3.024820e+00 
29 204  1.078653225506599256e+01 0 0 2.701135e+01 3.004707e+00 
30 211  1.078650442643903595e+01 0 0 2.704603e+01 2.997359e+00 
31 218  1.078650507099560052e+01 0 0 2.703829e+01 2.992678e+00 
32 225  1.078650792056254915e+01 0 0 2.705539e+01 3.009837e+00 
33 232  1.078650466358539539e+01 0 0 2.703995e+01 2.990610e+00 
34 239  1.078650637064575690e+01 0 0 2.705256e+01 2.999283e+00 
35 246  1.078650455137569608e+01 0 0 2.704055e+01 3.006170e+00 
36 253  1.078650431533886866e+01 0 0 2.704480e+01 2.991393e+00 
37 260  1.078650432075621701e+01 0 0 2.704254e+01 2.991916e+00 
38 267  1.078650456228893795e+01 0 0 2.704049e+01 2.999228e+00 
39 274  1.078650428734393074e+01 0 0 2.704407e+01 2.989921e+00 
40 281  1.078650428504377423e+01 0 0 2.704351e+01 2.994047e+00 
41 288  1.078650428437722475e+01 0 0 2.704359e+01 2.993572e+00 
42 295  1.078650428396469962e+01 0 0 2.704373e+01 2.993967e+00 
43 302  1.078650428576208675e+01 0 0 2.704398e+01 2.997412e+00 
44 309  1.078650432435766682e+01 0 0 2.704495e+01 2.995336e+00 
45 316  1.078650429172799186e+01 0 0 2.704426e+01 3.000467e+00 
46 323  1.078650428404549899e+01 0 0 2.704377e+01 2.999873e+00 
47 330  1.078650428396488614e+01 0 0 2.704373e+01 2.996383e+00 
48 337  1.078650428399076588e+01 0 0 2.704375e+01 2.997277e+00 
49 344  1.078650428419160434e+01 0 0 2.704362e+01 2.997952e+00 
50 351  1.078650428435104658e+01 0 0 2.704360e+01 2.998317e+00 
51 358  1.078650428398010064e+01 0 0 2.704369e+01 2.998616e+00 
52 365  1.078650428404874262e+01 0 0 2.704377e+01 2.998410e+00 
53 372  1.078650428398272076e+01 0 0 2.704369e+01 2.998408e+00 
54 379  1.078650428396074012e+01 0 0 2.704372e+01 2.998478e+00 
55 386  1.078650428396074012e+01 0 0 2.704371e+01 2.998551e+00 
56 393  1.078650428396079164e+01 0 0 2.704371e+01 2.999006e+00 
57 400  1.078650428396428751e+01 0 0 2.704370e+01 2.998883e+00 
58 407  1.078650428396132810e+01 0 0 2.704371e+01 2.999146e+00 
59 414  1.078650428396285932e+01 0 0 2.704373e+01 2.998772e+00 
60 421  1.078650428396054295e+01 0 0 2.704372e+01 2.998426e+00 
61 428  1.078650428397584982e+01 0 0 2.704369e+01 2.998876e+00 
62 435  1.078650428396139027e+01 0 0 2.704371e+01 2.998689e+00 
63 442  1.078650428396096039e+01 0 0 2.704372e+01 2.998692e+00 
64 449  1.078650428396996119e+01 0 0 2.704370e+01 2.998523e+00 
65 456  1.078650428396053051e+01 0 0 2.704372e+01 2.998638e+00 
66 463  1.078650428396320216e+01 0 0 2.704373e+01 2.998735e+00 
67 470  1.078650428396052696e+01 0 0 2.704372e+01 2.998686e+00 
68 477  1.078650428396057137e+01 0 0 2.704372e+01 2.998740e+00 
69 484  1.078650428396087690e+01 0 0 2.704372e+01 2.998689e+00 
70 491  1.078650428396097283e+01 0 0 2.704372e+01 2.998675e+00 
71 498  1.078650428396052696e+01 0 0 2.704372e+01 2.998662e+00 
72 505  1.078650428396055005e+01 0 0 2.704372e+01 2.998692e+00 
73 512  1.078650428396053407e+01 0 0 2.704372e+01 2.998698e+00 
74 519  1.078650428396054295e+01 0 0 2.704372e+01 2.998662e+00 
75 526  1.078650428396052874e+01 0 0 2.704372e+01 2.998675e+00 
76 533  1.078650428396056427e+01 0 0 2.704372e+01 2.998642e+00 
77 540  1.078650428396054828e+01 0 0 2.704372e+01 2.998617e+00 
78 547  1.078650428396052696e+01 0 0 2.704372e+01 2.998618e+00 
79 554  1.078650428396053940e+01 0 0 2.704372e+01 2.998618e+00 
80 561  1.078650428396053051e+01 0 0 2.704372e+01 2.998622e+00 
81 568  1.078650428396053407e+01 0 0 2.704372e+01 2.998640e+00 
82 575  1.078650428396052696e+01 0 0 2.704372e+01 2.998629e+00 
83 582  1.078650428396051808e+01 0 0 2.704372e+01 2.998631e+00 
84 589  1.078650428396052519e+01 0 0 2.704372e+01 2.998624e+00 
85 596  1.078650428396052874e+01 0 0 2.704372e+01 2.998637e+00 
86 603  1.078650428396052519e+01 0 0 2.704372e+01 2.998635e+00 
