%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=210463, 2022/07/14 11:16:34.63)
64 513 1.758653e+01 0 0 4.944646e-01 1.464416e+00 9.627765e-02 1.336344e-02 
65 521 1.422455e+01 0 0 3.800323e-01 1.123805e+00 7.363352e-02 1.023022e-02 
66 529 1.229552e+01 0 0 3.230771e-01 9.459633e-01 6.029569e-02 8.436300e-03 
67 537 1.317294e+01 0 0 3.283845e-01 9.920748e-01 6.735548e-02 8.771344e-03 
68 545 1.221267e+01 0 0 2.903888e-01 8.827683e-01 6.055207e-02 7.930350e-03 
69 553 1.070371e+01 0 0 2.453412e-01 7.455677e-01 5.123194e-02 6.837986e-03 
70 561 9.879775e+00 0 0 2.162806e-01 6.777692e-01 4.506677e-02 6.036827e-03 
71 569 9.281079e+00 0 0 1.915531e-01 6.055638e-01 4.278788e-02 5.490606e-03 
72 577 8.296595e+00 0 0 1.657660e-01 5.487793e-01 3.647125e-02 4.631399e-03 
73 585 7.561627e+00 0 0 1.424093e-01 4.983888e-01 3.131376e-02 3.999328e-03 
74 593 6.629822e+00 0 0 1.184886e-01 4.149996e-01 2.637195e-02 3.542220e-03 
75 601 5.455386e+00 0 0 9.340963e-02 3.256924e-01 2.052963e-02 2.785022e-03 
76 609 5.648958e+00 0 0 1.080917e-01 3.212713e-01 2.003866e-02 2.738028e-03 
77 617 5.024866e+00 0 0 9.150699e-02 2.777021e-01 1.704637e-02 2.367858e-03 
78 625 4.366830e+00 0 0 7.622483e-02 2.336649e-01 1.434991e-02 2.009770e-03 
79 633 4.914183e+00 0 0 9.921799e-02 2.515810e-01 1.521694e-02 2.161165e-03 
80 641 4.433070e+00 0 0 9.086184e-02 2.153648e-01 1.303468e-02 1.898152e-03 
81 649 3.904553e+00 0 0 7.758382e-02 1.806645e-01 1.082352e-02 1.594124e-03 
82 657 3.339376e+00 0 0 6.507789e-02 1.479173e-01 8.883224e-03 1.304916e-03 
83 665 3.229358e+00 0 0 5.992592e-02 1.354711e-01 9.065710e-03 1.246826e-03 
84 673 3.886378e+00 0 0 6.869424e-02 1.641259e-01 1.049964e-02 1.507187e-03 
85 681 3.876123e+00 0 0 6.570998e-02 1.653523e-01 9.890604e-03 1.444073e-03 
86 689 4.288511e+00 0 0 7.082926e-02 1.758051e-01 1.041754e-02 1.588314e-03 
87 697 4.105026e+00 0 0 6.433657e-02 1.673321e-01 9.474057e-03 1.453266e-03 
88 705 3.603240e+00 0 0 5.660660e-02 1.393139e-01 7.933742e-03 1.229914e-03 
89 713 3.267103e+00 0 0 5.036783e-02 1.214260e-01 6.922833e-03 1.093723e-03 
90 721 3.353978e+00 0 0 5.139021e-02 1.192484e-01 6.697997e-03 1.126268e-03 
91 729 3.394268e+00 0 0 4.957297e-02 1.143416e-01 6.549615e-03 1.115366e-03 
92 737 3.118651e+00 0 0 4.586468e-02 1.036790e-01 5.755784e-03 9.763862e-04 
93 745 2.618812e+00 0 0 3.693861e-02 8.289569e-02 4.605662e-03 7.811149e-04 
94 753 2.841261e+00 0 0 4.639493e-02 8.646581e-02 4.704915e-03 8.213739e-04 
95 761 3.025904e+00 0 0 4.822873e-02 8.906455e-02 4.715974e-03 9.347899e-04 
96 769 2.830700e+00 0 0 4.271039e-02 8.203056e-02 4.158397e-03 8.439319e-04 
97 777 2.396088e+00 0 0 3.483364e-02 6.591438e-02 3.431840e-03 6.983350e-04 
98 785 1.906331e+00 0 0 2.663341e-02 5.045741e-02 2.591692e-03 5.556718e-04 
99 793 1.598887e+00 0 0 2.239821e-02 4.200407e-02 2.054652e-03 4.479487e-04 
100 801 1.542766e+00 0 0 2.156565e-02 3.828022e-02 1.891150e-03 4.154616e-04 
101 809 1.526914e+00 0 0 2.232154e-02 3.724879e-02 1.805934e-03 4.023251e-04 
102 817 1.311659e+00 0 0 1.831896e-02 3.097744e-02 1.485711e-03 3.461664e-04 
103 825 1.086697e+00 0 0 1.444311e-02 2.429656e-02 1.192564e-03 2.785364e-04 
104 833 1.076845e+00 0 0 1.383280e-02 2.586267e-02 1.151924e-03 2.729913e-04 
105 841 1.537106e+00 0 0 2.249054e-02 4.142803e-02 1.630714e-03 3.847169e-04 
106 849 1.865082e+00 0 0 2.685469e-02 5.092504e-02 1.863151e-03 4.463663e-04 
107 857 2.081184e+00 0 0 3.045719e-02 5.607777e-02 1.972288e-03 4.910075e-04 
108 865 1.991751e+00 0 0 2.769886e-02 5.095893e-02 1.780523e-03 4.682071e-04 
109 873 1.995309e+00 0 0 2.659507e-02 5.188214e-02 1.701651e-03 4.497908e-04 
110 881 1.658361e+00 0 0 2.128182e-02 4.147739e-02 1.349655e-03 3.575839e-04 
111 889 1.650861e+00 0 0 2.002911e-02 3.954907e-02 1.358532e-03 3.762711e-04 
112 897 1.734337e+00 0 0 2.332860e-02 4.123628e-02 1.358948e-03 3.947363e-04 
113 905 1.744605e+00 0 0 2.270574e-02 4.001527e-02 1.341886e-03 4.016956e-04 
114 913 1.728459e+00 0 0 2.131989e-02 3.752920e-02 1.267157e-03 3.981909e-04 
115 921 2.043236e+00 0 0 2.512960e-02 4.416746e-02 1.427268e-03 5.597290e-04 
116 929 2.191824e+00 0 0 2.585788e-02 4.529288e-02 1.470711e-03 6.140621e-04 
117 937 2.276023e+00 0 0 2.558185e-02 4.520282e-02 1.438418e-03 6.636215e-04 
118 945 2.778196e+00 0 0 2.986645e-02 5.297025e-02 1.659233e-03 9.563583e-04 
119 953 2.920362e+00 0 0 2.980761e-02 5.332497e-02 1.652975e-03 1.043892e-03 
120 961 3.462208e+00 0 0 3.512272e-02 6.135829e-02 1.852587e-03 1.397451e-03 
121 969 4.381037e+00 0 0 4.498691e-02 8.256431e-02 2.240730e-03 1.931563e-03 
122 977 4.914208e+00 0 0 4.813853e-02 8.927126e-02 2.417960e-03 2.287030e-03 
123 985 6.906434e+00 0 0 6.754746e-02 1.258497e-01 3.318919e-03 3.468102e-03 
124 993 8.886570e+00 0 0 8.378063e-02 1.666060e-01 4.442346e-03 4.537646e-03 
125 1001 1.297750e+01 0 0 1.217810e-01 2.470552e-01 6.493681e-03 7.037486e-03 
126 1009 1.631511e+01 0 0 1.460127e-01 3.183166e-01 8.067780e-03 8.605654e-03 
127 1017 2.073788e+01 0 0 1.780663e-01 4.023899e-01 9.896584e-03 1.134327e-02 
128 1025 2.217990e+01 0 0 1.889910e-01 4.203359e-01 1.005467e-02 1.228231e-02 
129 1033 2.757272e+01 0 0 2.269966e-01 5.099456e-01 1.191204e-02 1.750277e-02 
130 1041 3.636288e+01 0 0 2.972607e-01 6.559225e-01 1.521889e-02 2.438373e-02 
131 1049 5.340290e+01 0 0 4.285052e-01 9.574300e-01 2.170677e-02 3.748105e-02 
132 1057 6.496766e+01 0 0 4.960268e-01 1.098845e+00 2.779772e-02 4.481878e-02 
133 1065 8.070582e+01 0 0 5.811626e-01 1.311922e+00 3.419531e-02 6.255531e-02 
134 1073 1.201279e+02 0 0 8.381507e-01 1.911519e+00 5.138460e-02 1.010799e-01 
135 1081 2.026005e+02 0 0 1.370395e+00 3.144000e+00 8.433675e-02 1.814403e-01 
136 1089 2.523830e+02 0 0 1.632323e+00 3.709623e+00 1.047457e-01 2.230485e-01 
137 1097 2.845854e+02 0 0 1.739479e+00 4.189320e+00 1.158361e-01 2.473978e-01 
138 1105 2.605709e+02 0 0 1.527856e+00 3.661974e+00 1.047439e-01 2.245600e-01 
139 1113 2.606230e+02 0 0 1.462168e+00 3.484985e+00 1.083859e-01 2.126249e-01 
140 1121 2.492342e+02 0 0 1.344498e+00 3.162120e+00 1.015814e-01 2.041359e-01 
141 1129 2.266539e+02 0 0 1.170643e+00 2.739524e+00 8.811783e-02 1.787896e-01 
