%  columns="iteration, evaluation, void, void, void, xmean" (startseed=210463, 2022/07/14 11:16:34.63)
73 585 0 0 0 3.644078e+01 2.136238e+02 9.758717e-01 7.449192e-01 
74 593 0 0 0 3.643133e+01 2.135760e+02 9.897663e-01 7.483051e-01 
75 601 0 0 0 3.643449e+01 2.134127e+02 9.902706e-01 7.485468e-01 
76 609 0 0 0 3.656638e+01 2.133569e+02 9.884005e-01 7.473966e-01 
77 617 0 0 0 3.650521e+01 2.132252e+02 9.802324e-01 7.460592e-01 
78 625 0 0 0 3.652627e+01 2.131505e+02 9.916359e-01 7.476976e-01 
79 633 0 0 0 3.639853e+01 2.131283e+02 9.889173e-01 7.466594e-01 
80 641 0 0 0 3.650343e+01 2.131046e+02 9.844535e-01 7.457188e-01 
81 649 0 0 0 3.653853e+01 2.131828e+02 9.838712e-01 7.456122e-01 
82 657 0 0 0 3.656818e+01 2.131547e+02 9.868448e-01 7.460901e-01 
83 665 0 0 0 3.655502e+01 2.131312e+02 9.958698e-01 7.468480e-01 
84 673 0 0 0 3.653763e+01 2.130373e+02 9.961978e-01 7.456380e-01 
85 681 0 0 0 3.656345e+01 2.131713e+02 9.938281e-01 7.453894e-01 
86 689 0 0 0 3.651827e+01 2.132048e+02 9.961426e-01 7.445655e-01 
87 697 0 0 0 3.653029e+01 2.130585e+02 9.978840e-01 7.445253e-01 
88 705 0 0 0 3.658470e+01 2.131063e+02 9.944955e-01 7.453054e-01 
89 713 0 0 0 3.659492e+01 2.130837e+02 9.917741e-01 7.443690e-01 
90 721 0 0 0 3.662197e+01 2.130494e+02 9.926826e-01 7.437427e-01 
91 729 0 0 0 3.660534e+01 2.130804e+02 9.961254e-01 7.434201e-01 
92 737 0 0 0 3.656347e+01 2.131391e+02 9.973937e-01 7.440010e-01 
93 745 0 0 0 3.657026e+01 2.131379e+02 9.977593e-01 7.437750e-01 
94 753 0 0 0 3.651852e+01 2.131208e+02 9.972730e-01 7.434240e-01 
95 761 0 0 0 3.651608e+01 2.130898e+02 9.975590e-01 7.426760e-01 
96 769 0 0 0 3.652119e+01 2.131619e+02 9.968546e-01 7.426721e-01 
97 777 0 0 0 3.652413e+01 2.131584e+02 9.995317e-01 7.432979e-01 
98 785 0 0 0 3.652209e+01 2.131464e+02 9.996824e-01 7.431387e-01 
99 793 0 0 0 3.652540e+01 2.131220e+02 9.991849e-01 7.429073e-01 
100 801 0 0 0 3.654226e+01 2.131235e+02 9.999547e-01 7.428028e-01 
101 809 0 0 0 3.655839e+01 2.131037e+02 9.987527e-01 7.427298e-01 
102 817 0 0 0 3.654922e+01 2.131289e+02 9.997370e-01 7.430992e-01 
103 825 0 0 0 3.655354e+01 2.131206e+02 9.988201e-01 7.429742e-01 
104 833 0 0 0 3.654737e+01 2.131471e+02 9.983066e-01 7.430790e-01 
105 841 0 0 0 3.651875e+01 2.131977e+02 9.991630e-01 7.433048e-01 
106 849 0 0 0 3.650815e+01 2.132187e+02 9.994853e-01 7.431597e-01 
107 857 0 0 0 3.649062e+01 2.132330e+02 9.989233e-01 7.429541e-01 
108 865 0 0 0 3.650594e+01 2.132176e+02 9.992240e-01 7.426853e-01 
109 873 0 0 0 3.650914e+01 2.132572e+02 9.985887e-01 7.427496e-01 
110 881 0 0 0 3.652051e+01 2.132233e+02 9.984075e-01 7.429304e-01 
111 889 0 0 0 3.651736e+01 2.132444e+02 9.997233e-01 7.432933e-01 
112 897 0 0 0 3.654362e+01 2.132130e+02 9.993659e-01 7.429096e-01 
113 905 0 0 0 3.652756e+01 2.132024e+02 1.000175e+00 7.427320e-01 
114 913 0 0 0 3.653226e+01 2.132127e+02 1.000123e+00 7.425314e-01 
115 921 0 0 0 3.651719e+01 2.131954e+02 9.995760e-01 7.419953e-01 
116 929 0 0 0 3.652076e+01 2.131993e+02 1.000339e+00 7.418013e-01 
117 937 0 0 0 3.652902e+01 2.131851e+02 1.000172e+00 7.414129e-01 
118 945 0 0 0 3.652352e+01 2.131874e+02 1.000242e+00 7.405761e-01 
119 953 0 0 0 3.651792e+01 2.131822e+02 1.000425e+00 7.401682e-01 
120 961 0 0 0 3.649897e+01 2.132037e+02 1.000038e+00 7.390800e-01 
121 969 0 0 0 3.648141e+01 2.132614e+02 9.995475e-01 7.380252e-01 
122 977 0 0 0 3.649924e+01 2.131984e+02 1.000825e+00 7.369044e-01 
123 985 0 0 0 3.645357e+01 2.132590e+02 1.000482e+00 7.327830e-01 
124 993 0 0 0 3.646526e+01 2.131474e+02 9.968835e-01 7.305200e-01 
125 1001 0 0 0 3.640260e+01 2.132319e+02 9.938664e-01 7.230991e-01 
126 1009 0 0 0 3.636095e+01 2.134880e+02 9.994114e-01 7.211184e-01 
127 1017 0 0 0 3.638061e+01 2.136146e+02 1.001301e+00 7.147226e-01 
128 1025 0 0 0 3.640073e+01 2.135459e+02 9.982565e-01 7.095219e-01 
129 1033 0 0 0 3.649158e+01 2.132585e+02 9.961220e-01 6.953685e-01 
130 1041 0 0 0 3.651604e+01 2.132860e+02 9.981822e-01 6.729896e-01 
131 1049 0 0 0 3.637294e+01 2.138873e+02 9.997042e-01 6.358174e-01 
132 1057 0 0 0 3.630300e+01 2.139377e+02 9.779501e-01 6.165329e-01 
133 1065 0 0 0 3.627990e+01 2.138601e+02 9.703388e-01 5.632178e-01 
134 1073 0 0 0 3.611862e+01 2.141316e+02 9.387847e-01 4.505237e-01 
135 1081 0 0 0 3.603846e+01 2.133009e+02 9.599951e-01 2.697172e-01 
136 1089 0 0 0 3.611183e+01 2.137058e+02 9.100334e-01 1.790782e-01 
137 1097 0 0 0 3.619289e+01 2.159511e+02 8.761698e-01 8.645870e-02 
138 1105 0 0 0 3.665430e+01 2.147249e+02 8.408681e-01 3.263584e-01 
139 1113 0 0 0 3.676679e+01 2.157688e+02 7.621849e-01 2.822758e-01 
140 1121 0 0 0 3.709983e+01 2.148171e+02 8.563938e-01 1.065057e-01 
141 1129 0 0 0 3.730505e+01 2.139420e+02 8.771320e-01 6.901980e-02 
142 1137 0 0 0 3.730042e+01 2.153238e+02 8.073115e-01 1.067848e-01 
143 1145 0 0 0 3.682179e+01 2.166048e+02 7.961880e-01 2.937096e-02 
144 1153 0 0 0 3.702713e+01 2.155396e+02 8.129715e-01 5.247783e-02 
145 1161 0 0 0 3.642055e+01 2.169604e+02 8.511068e-01 4.083072e-02 
146 1169 0 0 0 3.602885e+01 2.177145e+02 8.801403e-01 7.100747e-02 
147 1177 0 0 0 3.654148e+01 2.167054e+02 8.074521e-01 1.511809e-02 
148 1185 0 0 0 3.675259e+01 2.153045e+02 8.158020e-01 8.091377e-02 
149 1193 0 0 0 3.616112e+01 2.155949e+02 8.436473e-01 7.933662e-02 
150 1201 0 0 0 3.629382e+01 2.150466e+02 8.567738e-01 5.954322e-02 
151 1209 0 0 0 3.636152e+01 2.147004e+02 8.503458e-01 2.614474e-02 
152 1217 0 0 0 3.638553e+01 2.149379e+02 8.594794e-01 3.023623e-02 
153 1225 0 0 0 3.603786e+01 2.157323e+02 8.573885e-01 5.001569e-02 
154 1233 0 0 0 3.608501e+01 2.160366e+02 8.449767e-01 2.316234e-02 
155 1241 0 0 0 3.607695e+01 2.161175e+02 8.559900e-01 3.044944e-02 
156 1249 0 0 0 3.622345e+01 2.162042e+02 8.652235e-01 3.998062e-02 
157 1257 0 0 0 3.628018e+01 2.164369e+02 8.616663e-01 2.832116e-02 
158 1265 0 0 0 3.631624e+01 2.170539e+02 8.608439e-01 2.116990e-02 
159 1273 0 0 0 3.635279e+01 2.173256e+02 8.656266e-01 1.158552e-02 
160 1281 0 0 0 3.617860e+01 2.173366e+02 8.893807e-01 1.540951e-02 
161 1289 0 0 0 3.638702e+01 2.176561e+02 8.867428e-01 1.889719e-02 
162 1297 0 0 0 3.648329e+01 2.179881e+02 8.890019e-01 1.864171e-02 
163 1305 0 0 0 3.646106e+01 2.180567e+02 8.976484e-01 1.811327e-02 
164 1313 0 0 0 3.643954e+01 2.176702e+02 8.857952e-01 2.059658e-02 
165 1321 0 0 0 3.649333e+01 2.174028e+02 8.851226e-01 1.743957e-02 
166 1329 0 0 0 3.644590e+01 2.172863e+02 8.808223e-01 1.471736e-02 
167 1337 0 0 0 3.641568e+01 2.176940e+02 8.908601e-01 1.046805e-02 
168 1345 0 0 0 3.640757e+01 2.176926e+02 9.022549e-01 1.823162e-02 
169 1353 0 0 0 3.642256e+01 2.177017e+02 8.980564e-01 1.543691e-02 
170 1361 0 0 0 3.641282e+01 2.176719e+02 9.005352e-01 1.515193e-02 
171 1369 0 0 0 3.644459e+01 2.177024e+02 9.028319e-01 1.098504e-02 
172 1377 0 0 0 3.645885e+01 2.175596e+02 9.038650e-01 1.264399e-02 
173 1385 0 0 0 3.649711e+01 2.174667e+02 9.023589e-01 1.409081e-02 
174 1393 0 0 0 3.649714e+01 2.176096e+02 9.049787e-01 1.668239e-02 
175 1401 0 0 0 3.648297e+01 2.175362e+02 8.992708e-01 1.705406e-02 
176 1409 0 0 0 3.648406e+01 2.175396e+02 8.973637e-01 1.421359e-02 
177 1417 0 0 0 3.648816e+01 2.175526e+02 8.995196e-01 1.304619e-02 
178 1425 0 0 0 3.649995e+01 2.176044e+02 9.034221e-01 1.308299e-02 
179 1433 0 0 0 3.651952e+01 2.176006e+02 9.024532e-01 1.489220e-02 
180 1441 0 0 0 3.651074e+01 2.176409e+02 9.054104e-01 1.580284e-02 
181 1449 0 0 0 3.650127e+01 2.176550e+02 9.029347e-01 1.590372e-02 
182 1457 0 0 0 3.649856e+01 2.176440e+02 9.035856e-01 1.455363e-02 
183 1465 0 0 0 3.649261e+01 2.176731e+02 9.073767e-01 1.547820e-02 
184 1473 0 0 0 3.650793e+01 2.176598e+02 9.066383e-01 1.566514e-02 
185 1481 0 0 0 3.649241e+01 2.176582e+02 9.047873e-01 1.557237e-02 
186 1489 0 0 0 3.649509e+01 2.176667e+02 9.034150e-01 1.572226e-02 
187 1497 0 0 0 3.648984e+01 2.176801e+02 9.035006e-01 1.559770e-02 
188 1505 0 0 0 3.649549e+01 2.176591e+02 9.046499e-01 1.570706e-02 
189 1513 0 0 0 3.649573e+01 2.176434e+02 9.039036e-01 1.598976e-02 
190 1521 0 0 0 3.649305e+01 2.176690e+02 9.049454e-01 1.599886e-02 
191 1529 0 0 0 3.649070e+01 2.176640e+02 9.053277e-01 1.578667e-02 
192 1537 0 0 0 3.648505e+01 2.176730e+02 9.054039e-01 1.570284e-02 
193 1545 0 0 0 3.648414e+01 2.176755e+02 9.058299e-01 1.567083e-02 
194 1553 0 0 0 3.648627e+01 2.176708e+02 9.055142e-01 1.568556e-02 
195 1561 0 0 0 3.648676e+01 2.176615e+02 9.053930e-01 1.576949e-02 
196 1569 0 0 0 3.648683e+01 2.176637e+02 9.054557e-01 1.566184e-02 
197 1577 0 0 0 3.648885e+01 2.176624e+02 9.055214e-01 1.565758e-02 
198 1585 0 0 0 3.648696e+01 2.176636e+02 9.057080e-01 1.565894e-02 
199 1593 0 0 0 3.648598e+01 2.176646e+02 9.058751e-01 1.571165e-02 
200 1601 0 0 0 3.648488e+01 2.176689e+02 9.060737e-01 1.572984e-02 
201 1609 0 0 0 3.648525e+01 2.176728e+02 9.062759e-01 1.573477e-02 
202 1617 0 0 0 3.648485e+01 2.176715e+02 9.065320e-01 1.574402e-02 
203 1625 0 0 0 3.648494e+01 2.176710e+02 9.063207e-01 1.564742e-02 
204 1633 0 0 0 3.648447e+01 2.176712e+02 9.063965e-01 1.568160e-02 
205 1641 0 0 0 3.648454e+01 2.176699e+02 9.063836e-01 1.572955e-02 
206 1649 0 0 0 3.648542e+01 2.176688e+02 9.062456e-01 1.570631e-02 
207 1657 0 0 0 3.648528e+01 2.176691e+02 9.061573e-01 1.570000e-02 
208 1665 0 0 0 3.648558e+01 2.176703e+02 9.062917e-01 1.573114e-02 
209 1673 0 0 0 3.648532e+01 2.176698e+02 9.062836e-01 1.574219e-02 
210 1681 0 0 0 3.648553e+01 2.176690e+02 9.061894e-01 1.572571e-02 
211 1689 0 0 0 3.648558e+01 2.176690e+02 9.061970e-01 1.572072e-02 
212 1697 0 0 0 3.648550e+01 2.176704e+02 9.062774e-01 1.574016e-02 
213 1705 0 0 0 3.648565e+01 2.176699e+02 9.062961e-01 1.573897e-02 
214 1713 0 0 0 3.648582e+01 2.176694e+02 9.062663e-01 1.572863e-02 
215 1721 0 0 0 3.648567e+01 2.176695e+02 9.062631e-01 1.571337e-02 
