%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=210463, 2022/07/14 11:16:34.63)
1 9  1.719980163077935231e+03 0 0 2.377869e+01 1.923722e+02 1.148680e+00 7.336720e-01 
2 17  7.562687108404974197e+02 0 0 3.459043e+01 3.039129e+02 6.353927e-01 8.190814e-01 
3 25  4.422370529141379052e+02 0 0 4.490448e+01 1.863680e+02 1.094973e+00 8.517886e-01 
4 33  1.694105326591942230e+03 0 0 5.266267e+01 3.057851e+02 4.471785e-01 9.233996e-01 
5 41  3.969347765894562485e+02 0 0 3.233644e+01 2.307649e+02 6.129196e-01 9.287067e-01 
6 49  4.098111656719626694e+02 0 0 4.638373e+01 2.001452e+02 1.026391e+00 7.257170e-01 
7 57  7.858126561798342209e+02 0 0 6.898865e+01 1.485407e+02 9.781048e-01 5.961948e-01 
8 65  7.633662420606763135e+02 0 0 3.845630e+01 2.933414e+02 8.967832e-01 7.210904e-01 
9 73  2.133754268482571490e+02 0 0 4.153939e+01 2.085674e+02 7.457027e-01 8.376504e-01 
10 81  2.717317998446523575e+02 0 0 4.336167e+01 2.038761e+02 1.223175e+00 8.601111e-01 
11 89  2.003509539036361673e+02 0 0 3.903338e+01 2.179163e+02 4.295843e-01 7.492891e-01 
12 97  2.483915015779285227e+02 0 0 4.040881e+01 2.189064e+02 4.095709e-01 7.850290e-01 
13 105  2.111815589211448980e+02 0 0 4.008010e+01 2.004663e+02 2.907666e-01 5.480968e-01 
14 113  2.832622861973522390e+02 0 0 2.993856e+01 2.218427e+02 1.756180e-01 6.892659e-01 
15 121  1.995499648899632916e+02 0 0 3.721597e+01 2.011000e+02 4.414287e-01 6.829295e-01 
16 129  4.350254684858477958e+02 0 0 4.392920e+01 1.849836e+02 5.417014e-01 7.301639e-01 
17 137  2.075240412336888483e+02 0 0 3.959998e+01 2.002648e+02 3.649049e-01 6.398959e-01 
18 145  2.765640471606900519e+02 0 0 4.330796e+01 2.076724e+02 3.792905e-01 6.870005e-01 
