%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=210463, 2022/07/14 11:16:34.63)
1 9 1.009107e+02 3.469769e+02  6.709953521806196477e+02  1.719980163077935231e+03  2.807624939663237456e+03  4.141423476126819151e+04
2 17 1.093645e+02 3.631667e+02  6.709953521806196477e+02  7.562687108404974197e+02  1.828008331548081514e+03  3.404848277593662351e+04
3 25 8.721636e+01 3.679741e+02  4.422370529141379052e+02  4.422370529141379052e+02  3.400734849807613500e+03  4.711430817582333111e+04
4 33 9.063056e+01 3.762467e+02  4.422370529141379052e+02  1.694105326591942230e+03  3.749507373615224424e+03  6.519504404923014590e+03
5 41 8.474818e+01 3.795451e+02  3.969347765894562485e+02  3.969347765894562485e+02  3.283014684082789245e+03  2.351537433682719129e+05
6 49 7.400101e+01 3.858284e+02  3.969347765894562485e+02  4.098111656719626694e+02  2.805840253920767736e+03  2.414550031606876291e+05
7 57 6.951368e+01 3.781921e+02  3.969347765894562485e+02  7.858126561798342209e+02  2.480323927016187099e+03  1.322091123848363168e+04
8 65 6.197615e+01 4.181534e+02  3.969347765894562485e+02  7.633662420606763135e+02  1.354360350256945821e+03  4.508858503217006728e+03
9 73 5.878312e+01 4.189137e+02  2.133754268482571490e+02  2.133754268482571490e+02  8.915912896174604612e+02  5.042288576906925300e+03
10 81 6.809120e+01 3.713318e+02  2.133754268482571490e+02  2.717317998446523575e+02  1.497493808246173558e+03  1.522474271910259449e+04
11 89 6.501355e+01 3.723791e+02  2.003509539036361673e+02  2.003509539036361673e+02  3.473425371954152979e+03  2.297238504902039494e+04
12 97 6.576683e+01 3.728464e+02  2.003509539036361673e+02  2.483915015779285227e+02  2.059503658192970761e+03  1.295560502616546000e+04
13 105 6.430496e+01 3.457393e+02  2.003509539036361673e+02  2.111815589211448980e+02  1.434831371608461268e+03  8.245041469736221188e+03
14 113 5.954090e+01 3.543906e+02  2.003509539036361673e+02  2.832622861973522390e+02  1.547088552072078073e+03  7.837246836156044006e+08
15 121 5.209161e+01 3.513155e+02  1.995499648899632916e+02  1.995499648899632916e+02  1.153432283165351691e+03  3.995497849084256814e+03
16 129 4.332315e+01 3.479980e+02  1.995499648899632916e+02  4.350254684858477958e+02  1.055658156383889946e+03  8.139372513818504558e+03
17 137 4.059564e+01 3.185071e+02  1.995499648899632916e+02  2.075240412336888483e+02  3.512664076638060351e+02  7.254476407654410650e+02
18 145 3.416732e+01 3.220097e+02  1.995499648899632916e+02  2.765640471606900519e+02  6.687907693938229841e+02  3.905071779761269227e+03
19 153 2.868581e+01 3.129251e+02  1.778694337146864086e+02  1.778694337146864086e+02  3.781674252693635481e+02  8.134869694758518563e+03
20 161 2.727793e+01 2.968193e+02  1.652627302277630577e+02  1.652627302277630577e+02  2.756692390495200584e+02  1.165797971024211165e+03
21 169 2.818252e+01 2.948537e+02  1.617452765375048500e+02  1.617452765375048500e+02  2.590399775837394145e+02  1.208523479651930529e+03
22 177 2.344799e+01 2.973338e+02  1.617452765375048500e+02  1.848312643254878367e+02  2.658235741892054307e+02  7.302855724711195080e+02
23 185 2.090148e+01 2.984490e+02  1.515538630033241532e+02  1.515538630033241532e+02  2.495909250562029342e+02  3.271236281618224666e+02
24 193 1.840492e+01 2.954229e+02  1.515538630033241532e+02  1.531732344521315099e+02  1.867754550258471227e+02  4.032897765715417222e+02
25 201 1.590985e+01 3.037245e+02  1.515538630033241532e+02  1.516735615729501774e+02  1.805079435682741860e+02  3.203557406185650507e+02
26 209 1.451583e+01 3.050186e+02  1.515538630033241532e+02  1.570711648107345297e+02  1.718105563356034509e+02  2.700283314539989874e+02
27 217 1.248065e+01 3.127905e+02  1.515538630033241532e+02  1.559842586442097456e+02  1.809128670231810361e+02  2.873471525434924274e+02
28 225 1.135189e+01 3.255703e+02  1.492669239348220458e+02  1.492669239348220458e+02  1.637326481238069107e+02  1.945131178151625022e+02
29 233 1.018859e+01 3.218999e+02  1.492669239348220458e+02  1.510782999604251984e+02  1.559875629291286430e+02  2.028127494173680248e+02
30 241 8.879695e+00 3.203770e+02  1.492669239348220458e+02  1.498652439221330326e+02  1.563785080871940636e+02  1.638099209626855099e+02
