L1_R,L1_T,L1_A,L2_R,L2_T,L2_A,L6_R,L6_T,L6_A,L3_R,L3_T,L3_A,L9_R,L9_T,L9_A,L7_R,L7_T,L7_A,L4_R,L4_T,L4_A,L5_R,L5_T,L5_A,L8_R,L8_T,L8_A
0.5920321111,0.5450340234,-0.1370661344,0.6379802114,0.5722370148,-0.21021722610000002,0.5928797027,0.5637406998000001,-0.1566204026,0.5544601047000001,0.6089035573,-0.16336366230000002,0.6004163597,0.5683729125,-0.1687892724,0.630961251,0.5877325223,-0.2186937736,0.5336115784000001,0.5010886283,-0.03470020660000002,0.5219792037000001,0.5065895246000001,-0.02856872829999999,0.5774841905,0.690756228,-0.2682404183
0.5849005382727273,0.527312451,-0.1122129891818182,0.618132405090909,0.5579166747272727,-0.1760490797272727,0.5785810055454546,0.543173293,-0.12175429854545455,0.54201448,0.583880811,-0.1258952913636364,0.5790568097272728,0.5505863036363636,-0.12964311354545455,0.6062768224545455,0.5677728207272726,-0.17404964336363637,0.5221924413636363,0.47676662663636366,0.0010409320909090776,0.5117281804545454,0.48415464827272725,0.00411717127272728,0.5587309611818182,0.6629022346363637,-0.22163319563636363
0.5664177761666667,0.5091081279999999,-0.07552590408333333,0.5989677040833333,0.5429126395,-0.1418803435,0.5664386838333334,0.52377584975,-0.09021453358333335,0.5348137190000001,0.5677270226666666,-0.102540742,0.5609173556666667,0.5317627306666667,-0.09268008641666665,0.58559454625,0.5458296699166667,-0.13142421633333332,0.5116219420833333,0.46402162691666665,0.024356431166666654,0.5052230655,0.4743225535833333,0.020454380916666674,0.5414297150833333,0.6363109105,-0.1777406254166667
0.5535559419999999,0.5000161908461538,-0.05357213276923078,0.580013122,0.525053871,-0.10506699292307692,0.5485443492307692,0.5063799694615384,-0.054924318769230776,0.5210651786923077,0.5491592148461538,-0.07022439384615385,0.5435962919230769,0.5106973990769231,-0.054293691076923084,0.5749902645384616,0.5350961924615384,-0.11008645715384616,0.501655623076923,0.45421045076923083,0.0441339263076923,0.4953461579230769,0.45893071430769233,0.04572312776923078,0.5250632337692308,0.6097305572307692,-0.13479379084615387
0.5436024716428571,0.4910609482857143,-0.034663419857142864,0.5610327135714286,0.5086442427857143,-0.06967695628571428,0.535276328,0.49358568542857145,-0.028862013500000006,0.5088502843571429,0.5330766804285714,-0.04192696507142857,0.5273404617857143,0.4947570367142857,-0.0220974985,0.5651757655714286,0.5249684838571429,-0.0901442495,0.4908576316428572,0.44674961785714284,0.06239275064285713,0.485207781,0.4475670444285714,0.06722517457142858,0.513423069,0.5903522802142858,-0.10377534907142857
0.5334926926,0.4797798742,-0.01327256673333334,0.5453504400666667,0.4925625004,-0.037912940400000004,0.5210241063333334,0.48158534933333336,-0.00260945573333334,0.4959269431333333,0.5182684882,-0.0141954316,0.5116832067333333,0.48181577973333334,0.006501013600000002,0.5536192006,0.5131483070666667,-0.06676750773333333,0.48134981213333333,0.4403830747333333,0.07826711326666666,0.47513451566666665,0.4380816449333333,0.0867838394,0.5027977302,0.5715234377333334,-0.07432116773333333
0.5212470955,0.4667978481875,0.011955056374999995,0.534511416625,0.47554536675,-0.010056783312500001,0.4987685143125,0.4664379000625,0.03479358556249999,0.4792495779375,0.501927616625,0.0188228051875,0.4960314906875,0.46825669600000003,0.035711813375,0.540970842375,0.4993901720625,-0.0403610145,0.472933219,0.4322045584375,0.09486222262499999,0.4641003753125,0.4261047189375,0.10979490581250001,0.48837620118749997,0.5466665199375,-0.0350427209375
0.5065618954117648,0.4512072730588235,0.04223083158823529,0.523761157,0.4631405168823529,0.013098326176470587,0.4833231049411765,0.45351678788235295,0.06316010705882352,0.46637113129411767,0.4850329469411765,0.048595921470588235,0.48116163164705883,0.4548940269411765,0.06394434152941177,0.5287377653529411,0.4799415054705882,-0.00867927088235294,0.45910074452941174,0.41732603194117646,0.12357322364705882,0.4520393934117647,0.4130396014705882,0.13492100517647057,0.4731984112352941,0.5279707629411765,-0.0011691739999999983
0.4925708981666667,0.4349561487222222,0.07247295316666666,0.5130511684444444,0.45073223849999994,0.03621659311111111,0.47311602655555557,0.44218182761111113,0.08470214572222222,0.4556818348888889,0.470057298,0.07426086683333333,0.4699688630555555,0.4419098412222222,0.0881212958888889,0.5168403196111111,0.46492101611111114,0.018238664222222225,0.44380143055555554,0.40095053938888886,0.1552480301111111,0.4398428698888889,0.3986438775555555,0.1615132526111111,0.46101716372222223,0.5109108518888889,0.028071984555555558
0.48088626663157896,0.4218014187368421,0.09731231468421052,0.5026332502631579,0.4387086703157895,0.05865807947368421,0.46486728589473686,0.43054271752631584,0.10458999647368421,0.4462620307368421,0.45770115994736843,0.09603680905263158,0.461748442631579,0.43087360547368425,0.10737795205263159,0.5052347114736842,0.4555141628947369,0.03925112557894737,0.4314557160526316,0.38785056468421053,0.18069371931578945,0.42963799652631574,0.3870403765263158,0.183321627,0.4512340682105263,0.4947062725789474,0.054059659368421054
