Species,Sample number,WaterTreat,PAR,Chl,fAPAR,Anet,Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm)
Genus_species,#,"high,med,low",umol_m-2_s-1,umol_m-2,fraction,umol_m-2_s-1,﻿675.788,676.156,676.525,676.893,677.26,677.628,677.996,678.364,678.732,679.099,679.467,679.835,680.202,680.57,680.937,681.305,681.672,682.039,682.407,682.774,683.141,683.508,683.875,684.242,684.609,684.976,685.343,685.71,686.077,686.444,686.81,687.177,687.543,687.91,688.277,688.643,689.009,689.376,689.742,690.108,690.475,690.841,691.207,691.573,691.939,692.305,692.671,693.037,693.403,693.768,694.134,694.5,694.865,695.231,695.597,695.962,696.328,696.693,697.058,697.424,697.789,698.154,698.519,698.884,699.249,699.614,699.979,700.344,700.709,701.074,701.439,701.804,702.168,702.533,702.898,703.262,703.627,703.991,704.355,704.72,705.084,705.448,705.812,706.177,706.541,706.905,707.269,707.633,707.997,708.361,708.724,709.088,709.452,709.816,710.179,710.543,710.906,711.27,711.633,711.997,712.36,712.723,713.086,713.45,713.813,714.176,714.539,714.902,715.265,715.628,715.991,716.353,716.716,717.079,717.442,717.804,718.167,718.529,718.892,719.254,719.616,719.979,720.341,720.703,721.065,721.428,721.79,722.152,722.514,722.876,723.238,723.599,723.961,724.323,724.685,725.046,725.408,725.769,726.131,726.492,726.854,727.215,727.576,727.938,728.299,728.66,729.021,729.382,729.743,730.104,730.465,730.826,731.187,731.548,731.908,732.269,732.63,732.99,733.351,733.711,734.072,734.432,734.793,735.153,735.513,735.873,736.233,736.594,736.954,737.314,737.674,738.033,738.393,738.753,739.113,739.473,739.832,740.192,740.551,740.911,741.27,741.63,741.989,742.349,742.708,743.067,743.426,743.785,744.144,744.504,744.863,745.221,745.58,745.939,746.298,746.657,747.015,747.374,747.733,748.091,748.45,748.808,749.167,749.525,749.883,750.242,750.6,750.958,751.316,751.674,752.032,752.39,752.748,753.106,753.464,753.822,754.179,754.537,754.895,755.252,755.61,755.967,756.325,756.682,757.039,757.397,757.754,758.111,758.468,758.825,759.182,759.539,759.896,760.253,760.61,760.967,761.324,761.68,762.037,762.394,762.75,763.107,763.463,763.82,764.176,764.532,764.889,765.245,765.601,765.957,766.313,766.669,767.025,767.381,767.737,768.093,768.449,768.804,769.16,769.516,769.871,770.227,770.582,770.938,771.293,771.649,772.004,772.359,772.714,773.07,773.425,773.78,774.135,774.49,774.845,775.199,775.554,775.909,776.264,776.618,776.973,777.328,777.682,778.037,778.391,778.745,779.1,779.454,779.808,780.162,780.517,780.871,781.225,781.579,781.933,782.286,782.64,782.994,783.348,783.702,784.055,784.409,784.762,785.116,785.469,785.823,786.176,786.529,786.883,787.236,787.589,787.942,788.295,788.648,789.001,789.354,789.707,790.06,790.413,790.765,791.118,791.471,791.823,792.176,792.528,792.881,793.233,793.585,793.938,794.29,794.642,794.994,795.346,795.698,796.05,796.402,796.754,797.106,797.458,797.809,798.161,798.513,798.864,799.216,799.567,799.919,800.27,800.622,800.973,801.324,801.675,802.027,802.378,802.729,803.08,803.431,803.782,804.133,804.483,804.834,805.185,805.535,805.886,806.237,806.587,806.938,807.288,807.638,807.989,808.339,808.689,809.039,809.39,809.74,810.09,810.44,810.79,811.14,811.489,811.839,812.189,812.539,812.888,813.238,813.587,813.937,814.286,814.636,814.985,815.334,815.684,816.033,816.382,816.731,817.08,817.429,817.778,818.127,818.476,818.825,819.173,819.522,819.871,820.219,820.568,820.917,821.265,821.613,821.962,822.31,822.658,823.007,823.355,823.703,824.051,824.399,824.747,825.095,825.443,825.791,826.138,826.486,826.834,827.181,827.529,827.877,828.224,828.571,828.919,829.266,829.613,829.961,830.308,830.655,831.002,831.349,831.696,832.043,832.39,832.737,833.084,833.43,833.777,834.124,834.47,834.817,835.163,835.51,835.856,836.203,836.549,836.895,837.241,837.588,837.934,838.28,838.626,838.972,839.318,839.664,840.009,840.355,840.701,841.046,841.392,841.738,842.083,842.429,842.774,843.119,843.465,843.81,844.155,844.5,844.846,845.191,845.536,845.881,846.226,846.57,846.915,847.26,847.605,847.95
Glycine_max,1,high,50,292.103,,﻿0.0796085,﻿0.0281278,0.0288376,0.0297753,0.0305423,0.031553,0.0322611,0.0333345,0.034131,0.0350777,0.0359747,0.0369104,0.0378006,0.0386853,0.0397596,0.0404947,0.0413627,0.0421135,0.0429692,0.0436041,0.0442301,0.0449838,0.045416,0.0460179,0.0464593,0.0467484,0.0471334,0.0473275,0.0474002,0.047589,0.0475045,0.0474533,0.0474565,0.0474224,0.0472063,0.0470881,0.0467169,0.0464042,0.0459558,0.0459134,0.0455478,0.0451553,0.0447023,0.0443777,0.0439646,0.043641,0.0433541,0.0431183,0.042829,0.0423977,0.042203,0.0420997,0.0419523,0.0417334,0.0415788,0.0414707,0.0413335,0.0412863,0.0413714,0.0414291,0.0414,0.0411345,0.0412959,0.0412245,0.0414699,0.0413917,0.0416024,0.0415366,0.0417406,0.0418094,0.0420147,0.0421079,0.0422135,0.0424097,0.0425095,0.0426072,0.0428524,0.0429559,0.043217,0.0434473,0.0436799,0.0438591,0.0441903,0.04428,0.0445152,0.044868,0.0451511,0.0456143,0.045781,0.0461723,0.0463929,0.0470323,0.0473185,0.0477724,0.0480229,0.0482897,0.048812,0.0492233,0.0497871,0.0502925,0.0506591,0.0512969,0.0519543,0.0523201,0.0528801,0.0533522,0.0537703,0.0542558,0.0548547,0.0553332,0.0561691,0.0566527,0.0573596,0.0580462,0.0586163,0.0591152,0.0594652,0.0600203,0.0604944,0.0608259,0.0617787,0.0623136,0.0626465,0.0636004,0.0640057,0.0644571,0.0652614,0.0653561,0.0659958,0.0664324,0.0664616,0.0671878,0.0674545,0.068401,0.0686687,0.0689827,0.069843,0.0703123,0.0710697,0.0714055,0.0715329,0.0722056,0.0723183,0.072577,0.0728475,0.073022,0.0737366,0.0741983,0.0745016,0.0748574,0.0751747,0.0755756,0.075767,0.0760284,0.0764117,0.0765791,0.0767478,0.0770221,0.0772796,0.077441,0.0778249,0.0779982,0.0780668,0.0780386,0.0781113,0.078202,0.0783823,0.078433,0.0785601,0.0786327,0.0786427,0.0786456,0.078385,0.0784068,0.0783461,0.0781525,0.0780275,0.0777747,0.0777695,0.0773431,0.0773643,0.0773564,0.0767723,0.0762324,0.0759151,0.0755148,0.0752495,0.0747744,0.0745684,0.0739055,0.0732256,0.072995,0.0724515,0.0721243,0.0712251,0.0708192,0.0699551,0.0689853,0.0684978,0.0676293,0.0671795,0.0663698,0.0659011,0.065211,0.064444,0.0637144,0.0629289,0.0622786,0.0614616,0.0607238,0.0599876,0.0591987,0.0583013,0.0577408,0.0571472,0.0563437,0.0556834,0.0547932,0.054354,0.0536411,0.0526157,0.0520899,0.0514975,0.0507826,0.0501373,0.0494731,0.048681,0.0482098,0.0474833,0.0468224,0.0461856,0.0454939,0.0449726,0.0443543,0.0435559,0.0431023,0.0425684,0.0418457,0.0413607,0.0408577,0.0402491,0.0396996,0.0390248,0.0383885,0.037887,0.037145,0.0367059,0.0360972,0.0355199,0.0350631,0.0344045,0.0338577,0.0333431,0.032781,0.0321666,0.0316327,0.031173,0.0305579,0.0301881,0.0297756,0.0291328,0.0285177,0.0280748,0.0275639,0.0271347,0.0267962,0.0263335,0.0258833,0.0254659,0.0251558,0.0247565,0.024309,0.0239623,0.023599,0.0231087,0.0227215,0.0225293,0.022107,0.0217762,0.0213126,0.0211559,0.0206357,0.0204172,0.0200395,0.019817,0.0196365,0.0194081,0.0191822,0.0188956,0.0185532,0.0181805,0.0180914,0.0178217,0.0173838,0.0175214,0.0172034,0.0169054,0.0168176,0.0165156,0.0164229,0.0162468,0.0160639,0.01582,0.0157924,0.0156869,0.0153758,0.0152153,0.0150621,0.0149394,0.014709,0.0146232,0.0145229,0.0143811,0.0144108,0.0141243,0.0138698,0.0139508,0.0138553,0.0136132,0.0135716,0.0133328,0.0131237,0.0131591,0.0129534,0.0128974,0.0129323,0.0127408,0.0126686,0.0124293,0.0124957,0.0123109,0.0123366,0.0121434,0.0123403,0.0121495,0.0119224,0.0119687,0.0119902,0.0117735,0.0117252,0.0115362,0.01155,0.0114181,0.0111903,0.0111477,0.0111868,0.0112391,0.0110253,0.0109203,0.010853,0.0107349,0.010885,0.0107809,0.0107671,0.0106426,0.0105803,0.0106128,0.0106537,0.0105145,0.0103806,0.0102784,0.0103135,0.0101643,0.0100643,0.00998033,0.0101163,0.0100535,0.00972399,0.0100411,0.00969234,0.00981567,0.00973512,0.00958906,0.00932714,0.0094588,0.00951435,0.00936191,0.00916236,0.00928373,0.00916566,0.00920093,0.0091669,0.00921338,0.0091672,0.00900443,0.00897815,0.00896087,0.00887987,0.00891822,0.00891652,0.00857071,0.00873682,0.00868102,0.0086764,0.0083539,0.00859428,0.00850942,0.00837654,0.00838549,0.00851332,0.00837183,0.00824703,0.00830393,0.00830646,0.008161,0.0078692,0.00790331,0.00805328,0.00784794,0.0077555,0.0078017,0.00766048,0.00755365,0.00751252,0.0076035,0.00746531,0.00745607,0.00755047,0.00733696,0.00737812,0.00728533,0.00725379,0.00716308,0.00703811,0.00727791,0.00709122,0.00708462,0.00698018,0.00715977,0.00699957,0.00690245,0.0070195,0.00696127,0.00691241,0.00684762,0.00686118,0.00671633,0.00652973,0.00642947,0.00653133,0.00628943,0.00650646,0.00624836,0.00644328,0.00625735,0.00622353,0.00614235,0.00650444,0.0059747,0.00587783,0.00615832,0.00603924,0.00585148,0.00598411,0.00610351,0.00585172,0.00570243,0.00594724,0.00590053,0.00587247,0.00577338,0.00572317,0.00572852,0.00555834,0.00567576,0.00551168,0.00554507,0.00550463,0.00565118,0.00543993,0.00521403,0.00539819,0.00567468,0.00540592,0.00517035,0.00529852,0.00542075,0.00523028,0.00533954,0.00525914,0.00524182,0.00518912,0.00516727,0.00496893,0.00511229
Glycine_max,1,high,100,292.103,,0.877094,0.0507717,0.0521342,0.0535829,0.0553363,0.0567863,0.0584032,0.0599307,0.0617262,0.0633302,0.065074,0.0667117,0.0681605,0.0699914,0.0717243,0.0732398,0.0747386,0.0762982,0.0777037,0.0790008,0.0802529,0.0812799,0.0824879,0.0834969,0.08436,0.085037,0.0857826,0.0863297,0.0867831,0.0869958,0.0870429,0.0872097,0.0870554,0.0870784,0.0868515,0.0866372,0.0862451,0.0857823,0.0852207,0.0847253,0.0840803,0.0835831,0.0829284,0.082322,0.0816593,0.0810987,0.080658,0.0802402,0.079744,0.0793817,0.0789463,0.0786723,0.0783138,0.0780318,0.0778081,0.077701,0.0775706,0.0774515,0.0774953,0.0773621,0.0775522,0.077529,0.0774413,0.0775288,0.077775,0.0778293,0.0781992,0.0782842,0.0785109,0.0787334,0.0791001,0.0795451,0.0797799,0.0797903,0.0801747,0.0804675,0.080967,0.081037,0.0815699,0.0821682,0.0826096,0.0831126,0.0835895,0.0838949,0.0844443,0.085106,0.0856409,0.0862065,0.0868079,0.0876558,0.0883811,0.0891739,0.0898468,0.0908185,0.0914858,0.0920116,0.0930986,0.0936481,0.0945216,0.0954739,0.0963916,0.0975536,0.0985915,0.0996094,0.100554,0.101556,0.102386,0.103539,0.104374,0.105486,0.106719,0.107948,0.109172,0.110406,0.11149,0.11244,0.113175,0.114436,0.115362,0.116212,0.117416,0.118569,0.119608,0.120903,0.121811,0.122963,0.123859,0.12453,0.125291,0.126123,0.126841,0.127671,0.1288,0.129941,0.130937,0.131799,0.13268,0.13389,0.134918,0.13562,0.136184,0.136754,0.137341,0.137718,0.138144,0.138912,0.140303,0.141043,0.141608,0.142584,0.14308,0.143577,0.143871,0.144436,0.144868,0.14547,0.145519,0.146197,0.146714,0.146959,0.147448,0.147652,0.147905,0.148357,0.1478,0.148385,0.148431,0.148624,0.148479,0.148643,0.148471,0.148577,0.148117,0.148337,0.14792,0.147726,0.147232,0.147511,0.14698,0.146572,0.146225,0.145885,0.145012,0.144341,0.143582,0.142782,0.141911,0.141276,0.140628,0.139809,0.138744,0.138034,0.136974,0.135652,0.134463,0.133293,0.132047,0.130599,0.129442,0.12797,0.12655,0.125459,0.124328,0.122851,0.121608,0.120369,0.118693,0.117622,0.116105,0.11461,0.113137,0.11184,0.110433,0.109172,0.107779,0.106353,0.105074,0.10373,0.102414,0.101147,0.099613,0.0983095,0.096991,0.0958018,0.0945917,0.0932371,0.0920733,0.0909256,0.0897289,0.0884938,0.0872998,0.0859678,0.0848583,0.0838106,0.0826583,0.0814921,0.0802923,0.0791877,0.078164,0.0769956,0.0758758,0.0748331,0.0735797,0.072497,0.071287,0.070113,0.0689371,0.0680101,0.0669588,0.0662398,0.0650942,0.0637715,0.0628818,0.0619396,0.0608638,0.0599577,0.0590258,0.057846,0.0569852,0.0559764,0.0550888,0.0541724,0.0530384,0.0521487,0.0513857,0.0505097,0.0497164,0.0488866,0.048271,0.0475222,0.0467231,0.0459598,0.0453488,0.0445908,0.0438723,0.0429781,0.042486,0.0417787,0.0412082,0.0405213,0.0398993,0.0392702,0.0387428,0.03813,0.037638,0.0372497,0.0366392,0.0363208,0.0357157,0.0351973,0.0347023,0.0341764,0.033955,0.0333171,0.0329639,0.0325811,0.0322228,0.0316788,0.0315574,0.0311918,0.03083,0.0304009,0.030066,0.029959,0.0297299,0.0292537,0.0289037,0.0286907,0.0284362,0.0280993,0.0277463,0.0275013,0.0272235,0.0272207,0.0268242,0.0265842,0.0265063,0.0261243,0.0259777,0.0257255,0.0253633,0.0251292,0.0249544,0.0247554,0.0246047,0.0246429,0.0241702,0.0239495,0.0238629,0.0236832,0.0235173,0.0234099,0.0232109,0.0232372,0.0229484,0.0226087,0.0227326,0.0225251,0.0221524,0.0222629,0.0218674,0.0218094,0.0216924,0.0214227,0.0211876,0.0212656,0.0211328,0.0209581,0.0209046,0.0207364,0.0206436,0.0203911,0.0203966,0.0202753,0.0201197,0.0200528,0.0200895,0.0201167,0.0198418,0.0195665,0.0193922,0.0193771,0.0192688,0.0190213,0.0189232,0.0189704,0.0189961,0.0187027,0.0187169,0.018498,0.0182615,0.018493,0.0181218,0.0180309,0.0180634,0.0179924,0.0178343,0.0175131,0.0176053,0.0174768,0.0174348,0.0173635,0.0173654,0.0173445,0.0169295,0.0171023,0.0168951,0.0169064,0.0169205,0.016576,0.0164417,0.0165144,0.0163698,0.0160886,0.0159688,0.0160058,0.016045,0.0159467,0.0157922,0.0159972,0.0156942,0.0155644,0.015379,0.0154709,0.0154277,0.0152704,0.015098,0.0151418,0.0148526,0.0146937,0.0146732,0.014635,0.0144223,0.0144495,0.0144223,0.014175,0.0141342,0.0141363,0.0138823,0.0140107,0.0138025,0.0137574,0.0135625,0.0134738,0.013561,0.0133211,0.0133358,0.0133168,0.0133541,0.0130626,0.0132602,0.0130399,0.0130263,0.0128816,0.0128412,0.0127633,0.0125099,0.0124931,0.012317,0.0123368,0.0121352,0.012065,0.0119423,0.0120818,0.0118343,0.0117864,0.0116644,0.0118902,0.0113865,0.0113662,0.0115854,0.0112142,0.011355,0.0113455,0.011233,0.0108826,0.0110453,0.0111086,0.0110688,0.0109559,0.0110202,0.0108621,0.0108575,0.0106778,0.0106592,0.0103647,0.0104507,0.0104386,0.0103922,0.0105077,0.0100719,0.0100265,0.0101571,0.010114,0.0100364,0.00970382,0.00995083,0.00996985,0.0100171,0.00993184,0.00970106,0.00980449,0.00969351,0.0096343,0.00962997
