Species,fAPAR,Chl,NPQ,PQ,Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm)
Genus_species,fraction,umol_m-2,[a.u],[a.u],﻿675.788,676.156,676.525,676.893,677.26,677.628,677.996,678.364,678.732,679.099,679.467,679.835,680.202,680.57,680.937,681.305,681.672,682.039,682.407,682.774,683.141,683.508,683.875,684.242,684.609,684.976,685.343,685.71,686.077,686.444,686.81,687.177,687.543,687.91,688.277,688.643,689.009,689.376,689.742,690.108,690.475,690.841,691.207,691.573,691.939,692.305,692.671,693.037,693.403,693.768,694.134,694.5,694.865,695.231,695.597,695.962,696.328,696.693,697.058,697.424,697.789,698.154,698.519,698.884,699.249,699.614,699.979,700.344,700.709,701.074,701.439,701.804,702.168,702.533,702.898,703.262,703.627,703.991,704.355,704.72,705.084,705.448,705.812,706.177,706.541,706.905,707.269,707.633,707.997,708.361,708.724,709.088,709.452,709.816,710.179,710.543,710.906,711.27,711.633,711.997,712.36,712.723,713.086,713.45,713.813,714.176,714.539,714.902,715.265,715.628,715.991,716.353,716.716,717.079,717.442,717.804,718.167,718.529,718.892,719.254,719.616,719.979,720.341,720.703,721.065,721.428,721.79,722.152,722.514,722.876,723.238,723.599,723.961,724.323,724.685,725.046,725.408,725.769,726.131,726.492,726.854,727.215,727.576,727.938,728.299,728.66,729.021,729.382,729.743,730.104,730.465,730.826,731.187,731.548,731.908,732.269,732.63,732.99,733.351,733.711,734.072,734.432,734.793,735.153,735.513,735.873,736.233,736.594,736.954,737.314,737.674,738.033,738.393,738.753,739.113,739.473,739.832,740.192,740.551,740.911,741.27,741.63,741.989,742.349,742.708,743.067,743.426,743.785,744.144,744.504,744.863,745.221,745.58,745.939,746.298,746.657,747.015,747.374,747.733,748.091,748.45,748.808,749.167,749.525,749.883,750.242,750.6,750.958,751.316,751.674,752.032,752.39,752.748,753.106,753.464,753.822,754.179,754.537,754.895,755.252,755.61,755.967,756.325,756.682,757.039,757.397,757.754,758.111,758.468,758.825,759.182,759.539,759.896,760.253,760.61,760.967,761.324,761.68,762.037,762.394,762.75,763.107,763.463,763.82,764.176,764.532,764.889,765.245,765.601,765.957,766.313,766.669,767.025,767.381,767.737,768.093,768.449,768.804,769.16,769.516,769.871,770.227,770.582,770.938,771.293,771.649,772.004,772.359,772.714,773.07,773.425,773.78,774.135,774.49,774.845,775.199,775.554,775.909,776.264,776.618,776.973,777.328,777.682,778.037,778.391,778.745,779.1,779.454,779.808,780.162,780.517,780.871,781.225,781.579,781.933,782.286,782.64,782.994,783.348,783.702,784.055,784.409,784.762,785.116,785.469,785.823,786.176,786.529,786.883,787.236,787.589,787.942,788.295,788.648,789.001,789.354,789.707,790.06,790.413,790.765,791.118,791.471,791.823,792.176,792.528,792.881,793.233,793.585,793.938,794.29,794.642,794.994,795.346,795.698,796.05,796.402,796.754,797.106,797.458,797.809,798.161,798.513,798.864,799.216,799.567,799.919,800.27,800.622,800.973,801.324,801.675,802.027,802.378,802.729,803.08,803.431,803.782,804.133,804.483,804.834,805.185,805.535,805.886,806.237,806.587,806.938,807.288,807.638,807.989,808.339,808.689,809.039,809.39,809.74,810.09,810.44,810.79,811.14,811.489,811.839,812.189,812.539,812.888,813.238,813.587,813.937,814.286,814.636,814.985,815.334,815.684,816.033,816.382,816.731,817.08,817.429,817.778,818.127,818.476,818.825,819.173,819.522,819.871,820.219,820.568,820.917,821.265,821.613,821.962,822.31,822.658,823.007,823.355,823.703,824.051,824.399,824.747,825.095,825.443,825.791,826.138,826.486,826.834,827.181,827.529,827.877,828.224,828.571,828.919,829.266,829.613,829.961,830.308,830.655,831.002,831.349,831.696,832.043,832.39,832.737,833.084,833.43,833.777,834.124,834.47,834.817,835.163,835.51,835.856,836.203,836.549,836.895,837.241,837.588,837.934,838.28,838.626,838.972,839.318,839.664,840.009,840.355,840.701,841.046,841.392,841.738,842.083,842.429,842.774,843.119,843.465,843.81,844.155,844.5,844.846,845.191,845.536,845.881,846.226,846.57,846.915,847.26,847.605,847.95
Quercus_robur,﻿0.836454,﻿728.665,﻿1.4922,﻿1.65802,﻿0.107197,0.110116,0.113954,0.11733,0.12026,0.123584,0.126582,0.130269,0.134762,0.136794,0.141397,0.143999,0.149992,0.151239,0.15375,0.160606,0.161805,0.165806,0.167392,0.171943,0.174514,0.175612,0.178637,0.181666,0.18402,0.184436,0.187653,0.188777,0.189118,0.188664,0.189686,0.190171,0.191111,0.190298,0.18883,0.188676,0.188626,0.186598,0.185353,0.182968,0.183465,0.181938,0.181273,0.178051,0.178227,0.175702,0.176886,0.173902,0.172946,0.17191,0.172361,0.169985,0.168446,0.167783,0.166464,0.166761,0.165017,0.166081,0.16471,0.163901,0.165054,0.164227,0.162702,0.164265,0.164146,0.164271,0.163176,0.163615,0.163977,0.165777,0.165293,0.165706,0.167918,0.165928,0.168322,0.167658,0.168848,0.170385,0.170334,0.173603,0.173419,0.174621,0.175733,0.178232,0.177914,0.180384,0.180092,0.184011,0.185397,0.186993,0.187629,0.189382,0.193102,0.195644,0.196572,0.196522,0.19926,0.202928,0.205895,0.207661,0.211999,0.216369,0.217479,0.219884,0.221937,0.226588,0.22967,0.232183,0.233518,0.237624,0.242527,0.244006,0.248196,0.251883,0.258139,0.260637,0.265591,0.266944,0.270171,0.272333,0.276897,0.282664,0.287113,0.291366,0.291882,0.301048,0.303909,0.307299,0.310163,0.314134,0.314308,0.320773,0.323107,0.331241,0.334778,0.342267,0.342757,0.349274,0.355386,0.359209,0.364032,0.368523,0.370755,0.373471,0.380292,0.38558,0.384998,0.392499,0.398966,0.405142,0.409082,0.412441,0.414327,0.42023,0.42813,0.42979,0.436437,0.439233,0.441758,0.446404,0.452002,0.451575,0.458465,0.459707,0.461847,0.466453,0.466597,0.473114,0.474329,0.477801,0.47847,0.482429,0.479,0.483139,0.487308,0.487568,0.488578,0.491485,0.491041,0.49404,0.493231,0.49469,0.495247,0.492523,0.492859,0.493482,0.487945,0.489107,0.486105,0.486803,0.483922,0.479889,0.479109,0.470838,0.472838,0.466094,0.460671,0.461749,0.455868,0.452233,0.446277,0.444695,0.438575,0.436994,0.43071,0.428093,0.423248,0.418224,0.411638,0.409538,0.405358,0.40052,0.394639,0.388952,0.386927,0.380117,0.376549,0.371573,0.365674,0.364844,0.357143,0.352839,0.347878,0.341997,0.337424,0.33512,0.329249,0.327555,0.322389,0.316596,0.311531,0.308372,0.303413,0.299381,0.295223,0.291347,0.288736,0.283534,0.280146,0.274479,0.27143,0.264582,0.261862,0.258726,0.255292,0.249303,0.244534,0.241967,0.238057,0.23386,0.230232,0.22702,0.221415,0.214762,0.213245,0.210586,0.206438,0.203021,0.201533,0.194871,0.191648,0.188841,0.184755,0.18206,0.17945,0.175384,0.173161,0.169996,0.166104,0.164095,0.162064,0.158667,0.155626,0.154052,0.148135,0.149215,0.146318,0.142701,0.140888,0.138242,0.136072,0.134949,0.132244,0.127856,0.128737,0.126144,0.124786,0.124502,0.122112,0.117646,0.116457,0.117311,0.113724,0.112691,0.112094,0.110061,0.108585,0.108386,0.105605,0.104606,0.103717,0.101986,0.101969,0.100206,0.0987549,0.0981647,0.0971074,0.0944147,0.0938618,0.0943014,0.0931912,0.0913828,0.0900624,0.089954,0.0888119,0.0884834,0.0874286,0.087059,0.0863562,0.0815458,0.0842177,0.0824713,0.0817552,0.0826623,0.0848985,0.0793421,0.0811531,0.0784584,0.08106,0.0774306,0.0806784,0.0773805,0.0770766,0.0755184,0.0744971,0.0738835,0.0735794,0.0739859,0.072554,0.0721428,0.070936,0.0699746,0.0708142,0.0683435,0.0705708,0.069195,0.0690098,0.0691009,0.0686481,0.0700219,0.0682915,0.0665044,0.0695799,0.066936,0.0654193,0.063916,0.066402,0.0648038,0.0645236,0.062422,0.0647452,0.065679,0.0647707,0.064303,0.0603273,0.0647236,0.0643491,0.0629676,0.0627299,0.0619113,0.0586619,0.060845,0.061152,0.0614893,0.0602722,0.0605151,0.0604682,0.0602663,0.0573057,0.0570117,0.0562483,0.0562799,0.0541825,0.0560678,0.0542631,0.055804,0.0567605,0.0560391,0.0557077,0.056297,0.052206,0.0553516,0.0565568,0.0535345,0.05572,0.0548675,0.0554374,0.0527911,0.0519513,0.0515088,0.0502411,0.0526835,0.0498669,0.0503101,0.0518746,0.0494118,0.0501118,0.0494716,0.0477479,0.0497976,0.0482546,0.0471953,0.045434,0.048404,0.0471853,0.0458691,0.0468242,0.0481415,0.0487988,0.0450083,0.0449311,0.0471824,0.0457598,0.0452389,0.045105,0.0445024,0.0441596,0.0436918,0.0440235,0.0433674,0.0435113,0.0440834,0.045227,0.0436674,0.0404284,0.0416703,0.0411362,0.0424529,0.0416514,0.0405727,0.0401755,0.039099,0.0428488,0.0415201,0.0383512,0.0404237,0.0399993,0.0394505,0.0376721,0.0384624,0.0382605,0.036886,0.0382383,0.0364261,0.0358624,0.036455,0.0363156,0.0345886,0.0353947,0.0354618,0.0347074,0.0353988,0.0368544,0.0368409,0.0322154,0.0337933,0.034169,0.033102,0.0324057,0.0334432,0.0330833,0.0374017,0.0320987,0.0327708,0.034417,0.0309593,0.0329017,0.0318262,0.0327432,0.0274959,0.0325826,0.0315856,0.0316781,0.0289231
Quercus_robur,0.945701,574.538,2.4688,1.44051,0.230589,0.236572,0.242524,0.249557,0.257029,0.264479,0.270271,0.280021,0.287602,0.296694,0.303027,0.311248,0.319876,0.328251,0.335181,0.343286,0.349939,0.357424,0.364925,0.371587,0.37727,0.384441,0.389601,0.393924,0.398589,0.402013,0.405569,0.408758,0.410042,0.411303,0.410709,0.412509,0.411906,0.411042,0.408362,0.407131,0.404046,0.401132,0.396559,0.395428,0.390499,0.386114,0.382254,0.379129,0.377204,0.371861,0.368468,0.364761,0.360988,0.357516,0.354837,0.350773,0.348943,0.344201,0.344022,0.341045,0.340307,0.336615,0.33593,0.33428,0.332399,0.332459,0.330427,0.330974,0.329258,0.330463,0.329817,0.329815,0.32854,0.330608,0.331045,0.329839,0.331319,0.330998,0.332553,0.334831,0.333825,0.335973,0.33737,0.338052,0.341147,0.341826,0.347002,0.346378,0.349588,0.349184,0.352573,0.356138,0.359069,0.36312,0.366755,0.368717,0.373986,0.377178,0.381323,0.38325,0.389244,0.391655,0.39708,0.402217,0.406653,0.4124,0.418308,0.423857,0.432246,0.437532,0.440484,0.444603,0.45083,0.457323,0.464271,0.471519,0.480057,0.485886,0.495247,0.503308,0.509398,0.514158,0.520193,0.525739,0.532707,0.541302,0.549827,0.555839,0.567102,0.575097,0.581595,0.59093,0.596093,0.602281,0.605865,0.616945,0.627848,0.636739,0.645743,0.654997,0.667167,0.675582,0.685347,0.695629,0.703272,0.712206,0.718196,0.724369,0.73416,0.743762,0.751919,0.76395,0.774328,0.78131,0.792783,0.802874,0.811369,0.824988,0.832656,0.83758,0.848307,0.854876,0.864649,0.87164,0.879813,0.886524,0.893244,0.901954,0.904945,0.91198,0.920494,0.923956,0.927004,0.935797,0.939488,0.943909,0.949579,0.954916,0.956678,0.957605,0.959709,0.965716,0.969479,0.973062,0.971493,0.974936,0.972402,0.974639,0.970173,0.969496,0.964948,0.962965,0.957547,0.959285,0.956361,0.948719,0.945754,0.937914,0.933776,0.921869,0.914584,0.908224,0.901762,0.892271,0.883362,0.876926,0.867401,0.859625,0.854383,0.842637,0.834692,0.824805,0.812899,0.806927,0.797584,0.78778,0.778553,0.769952,0.757719,0.748439,0.73846,0.731001,0.720537,0.710055,0.700798,0.691548,0.682243,0.672306,0.664555,0.654243,0.649313,0.638457,0.630426,0.620912,0.61151,0.601825,0.594892,0.58347,0.57704,0.569383,0.561506,0.553826,0.545633,0.535463,0.52793,0.518523,0.509508,0.502429,0.494579,0.484864,0.476546,0.46948,0.460132,0.453411,0.445316,0.437651,0.42805,0.421512,0.413177,0.407543,0.397266,0.391215,0.385317,0.376345,0.367304,0.360722,0.35339,0.349484,0.340788,0.336605,0.331039,0.323471,0.31998,0.312528,0.307745,0.300999,0.295293,0.289638,0.28524,0.280413,0.275524,0.26815,0.266374,0.261005,0.256263,0.251917,0.248056,0.244631,0.239165,0.236951,0.233633,0.23009,0.225054,0.223279,0.22023,0.215278,0.213133,0.210697,0.206783,0.203947,0.199659,0.200145,0.196977,0.194783,0.191968,0.190253,0.18819,0.184705,0.180958,0.178122,0.179745,0.174641,0.173892,0.172038,0.16923,0.169685,0.167781,0.163494,0.165397,0.163722,0.161247,0.159679,0.15788,0.155301,0.15505,0.153084,0.152546,0.151668,0.150204,0.148277,0.146549,0.146877,0.144204,0.14658,0.141988,0.139546,0.141287,0.138749,0.137291,0.1389,0.136017,0.134532,0.135576,0.134062,0.135123,0.130199,0.131631,0.128002,0.128119,0.128648,0.12623,0.126793,0.126112,0.127657,0.125168,0.125954,0.12305,0.122752,0.124639,0.120014,0.12199,0.118046,0.120786,0.116908,0.116979,0.116115,0.117683,0.116564,0.115492,0.115808,0.115387,0.1115,0.11445,0.112575,0.110924,0.111899,0.108349,0.10956,0.10824,0.108445,0.107647,0.109493,0.105723,0.105727,0.106522,0.105545,0.102945,0.103124,0.100639,0.102367,0.10204,0.100767,0.102364,0.1008,0.101265,0.101011,0.0984533,0.0995052,0.0970717,0.0985209,0.0954735,0.0957849,0.0941678,0.0964339,0.0950113,0.0980073,0.0946808,0.0940704,0.0923051,0.0918334,0.0933079,0.0908512,0.0905096,0.0928675,0.0903101,0.090303,0.089807,0.0886922,0.0886228,0.0875122,0.0865508,0.0867898,0.0865978,0.0837302,0.0837867,0.084956,0.0837138,0.0838509,0.0834378,0.0811484,0.0840621,0.0823611,0.0833256,0.0812183,0.080244,0.0780757,0.0811865,0.0768899,0.0774268,0.077715,0.0786992,0.0763551,0.0772244,0.0758956,0.0772471,0.0772715,0.0735477,0.0746364,0.0710465,0.0727251,0.0717876,0.070377,0.0710382,0.0671269,0.0713266,0.0673213,0.0683115,0.068374,0.0659216,0.06696,0.0669041,0.0669622,0.0656608,0.0643795,0.0623241,0.0641168,0.0629919,0.0654906,0.0631521,0.0624574,0.0624478,0.0599468,0.0600938,0.0608869,0.0606131,0.0615413,0.0589483,0.0599432,0.0585384,0.0635355,0.0551877,0.0550275,0.0592337,0.055282,0.0566212,0.0570414,0.0535827,0.0540559
