Species,Sample number,PAR,NPQ,PQ,Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm),Wavelength (nm)
Genus_species,#,umol_m-2_s-1,[a.u],[a.u],﻿675.788,676.156,676.525,676.893,677.26,677.628,677.996,678.364,678.732,679.099,679.467,679.835,680.202,680.57,680.937,681.305,681.672,682.039,682.407,682.774,683.141,683.508,683.875,684.242,684.609,684.976,685.343,685.71,686.077,686.444,686.81,687.177,687.543,687.91,688.277,688.643,689.009,689.376,689.742,690.108,690.475,690.841,691.207,691.573,691.939,692.305,692.671,693.037,693.403,693.768,694.134,694.5,694.865,695.231,695.597,695.962,696.328,696.693,697.058,697.424,697.789,698.154,698.519,698.884,699.249,699.614,699.979,700.344,700.709,701.074,701.439,701.804,702.168,702.533,702.898,703.262,703.627,703.991,704.355,704.72,705.084,705.448,705.812,706.177,706.541,706.905,707.269,707.633,707.997,708.361,708.724,709.088,709.452,709.816,710.179,710.543,710.906,711.27,711.633,711.997,712.36,712.723,713.086,713.45,713.813,714.176,714.539,714.902,715.265,715.628,715.991,716.353,716.716,717.079,717.442,717.804,718.167,718.529,718.892,719.254,719.616,719.979,720.341,720.703,721.065,721.428,721.79,722.152,722.514,722.876,723.238,723.599,723.961,724.323,724.685,725.046,725.408,725.769,726.131,726.492,726.854,727.215,727.576,727.938,728.299,728.66,729.021,729.382,729.743,730.104,730.465,730.826,731.187,731.548,731.908,732.269,732.63,732.99,733.351,733.711,734.072,734.432,734.793,735.153,735.513,735.873,736.233,736.594,736.954,737.314,737.674,738.033,738.393,738.753,739.113,739.473,739.832,740.192,740.551,740.911,741.27,741.63,741.989,742.349,742.708,743.067,743.426,743.785,744.144,744.504,744.863,745.221,745.58,745.939,746.298,746.657,747.015,747.374,747.733,748.091,748.45,748.808,749.167,749.525,749.883,750.242,750.6,750.958,751.316,751.674,752.032,752.39,752.748,753.106,753.464,753.822,754.179,754.537,754.895,755.252,755.61,755.967,756.325,756.682,757.039,757.397,757.754,758.111,758.468,758.825,759.182,759.539,759.896,760.253,760.61,760.967,761.324,761.68,762.037,762.394,762.75,763.107,763.463,763.82,764.176,764.532,764.889,765.245,765.601,765.957,766.313,766.669,767.025,767.381,767.737,768.093,768.449,768.804,769.16,769.516,769.871,770.227,770.582,770.938,771.293,771.649,772.004,772.359,772.714,773.07,773.425,773.78,774.135,774.49,774.845,775.199,775.554,775.909,776.264,776.618,776.973,777.328,777.682,778.037,778.391,778.745,779.1,779.454,779.808,780.162,780.517,780.871,781.225,781.579,781.933,782.286,782.64,782.994,783.348,783.702,784.055,784.409,784.762,785.116,785.469,785.823,786.176,786.529,786.883,787.236,787.589,787.942,788.295,788.648,789.001,789.354,789.707,790.06,790.413,790.765,791.118,791.471,791.823,792.176,792.528,792.881,793.233,793.585,793.938,794.29,794.642,794.994,795.346,795.698,796.05,796.402,796.754,797.106,797.458,797.809,798.161,798.513,798.864,799.216,799.567,799.919,800.27,800.622,800.973,801.324,801.675,802.027,802.378,802.729,803.08,803.431,803.782,804.133,804.483,804.834,805.185,805.535,805.886,806.237,806.587,806.938,807.288,807.638,807.989,808.339,808.689,809.039,809.39,809.74,810.09,810.44,810.79,811.14,811.489,811.839,812.189,812.539,812.888,813.238,813.587,813.937,814.286,814.636,814.985,815.334,815.684,816.033,816.382,816.731,817.08,817.429,817.778,818.127,818.476,818.825,819.173,819.522,819.871,820.219,820.568,820.917,821.265,821.613,821.962,822.31,822.658,823.007,823.355,823.703,824.051,824.399,824.747,825.095,825.443,825.791,826.138,826.486,826.834,827.181,827.529,827.877,828.224,828.571,828.919,829.266,829.613,829.961,830.308,830.655,831.002,831.349,831.696,832.043,832.39,832.737,833.084,833.43,833.777,834.124,834.47,834.817,835.163,835.51,835.856,836.203,836.549,836.895,837.241,837.588,837.934,838.28,838.626,838.972,839.318,839.664,840.009,840.355,840.701,841.046,841.392,841.738,842.083,842.429,842.774,843.119,843.465,843.81,844.155,844.5,844.846,845.191,845.536,845.881,846.226,846.57,846.915,847.26,847.605,847.95
Populus_tremula,1,0,0,0,﻿0.000227892,0.00120733,-0.00105786,-0.00170302,-0.000198035,0.00065419,0.00102942,-0.00070427,0.000514504,-0.00107352,0.00112833,0.000332599,0.000471859,-0.000346611,-0.0015102,0.0005657,-0.000593453,0.000298324,5.21E-05,-0.00220327,-0.000585076,-0.000456377,0.000536578,0.00154721,0.002316,0.00250952,0.000987632,-0.000950484,-0.00137468,-0.000923099,-0.000985885,0.00225026,-0.000207174,-0.000417301,-8.03E-05,-7.78E-05,-0.00105576,6.12E-05,3.89E-05,0.00156799,-0.00192261,-0.000938405,0.000713532,0.000599894,-0.000371493,-0.000137055,0.000229689,0.00314715,0.00186125,-0.00283496,-9.00E-05,-0.00179752,0.00254138,-0.000937984,0.00137041,0.000993612,-0.000610327,-0.00242676,0.00104204,-0.00186411,0.0012907,0.000401341,-0.00132661,-0.00144638,0.00066958,0.00149737,0.00147603,0.000677422,-0.00133927,0.00154154,-0.00246812,0.00380583,0.000929227,7.19E-05,0.000520634,0.00562349,3.46E-05,0.00108505,-0.000973735,-0.00198244,-0.00106113,-0.00292685,-0.000385093,0.000534367,0.00168783,-0.00101039,0.000172511,-0.000149374,0.00490544,0.000667049,-0.00130972,0.000510008,0.00109571,-0.00282856,-0.000334772,0.00214064,-0.000961365,0.000791002,0.00149083,-0.0012706,-0.00167387,-0.00208586,-0.000434916,-0.00194916,-9.74E-05,-0.00204702,0.00416842,0.000753092,0.00137687,0.00317435,-0.000238885,-0.00132263,-0.00308006,-0.00243454,0.00257109,0.00254317,-0.00103071,-0.00181789,0.00180793,-0.000599497,0.000792503,-0.000955117,0.00015215,-0.000116666,0.00290031,-0.00149087,-0.00143428,0.00207953,0.000814328,-0.000122498,-0.000472936,-0.00397345,0.00241425,0.000163405,-0.000315132,0.00233302,0.000783378,-0.00020322,0.00145775,0.000482426,0.0014519,0.000504891,0.000873419,0.00244666,-0.00175383,0.00313634,0.00283899,0.000740008,-0.000744278,-0.00347277,-0.00440637,0.00060285,0.00104413,-3.29E-05,-0.00228034,-0.00649358,0.000400119,0.000635953,-0.000132199,-0.00010332,0.00102103,-0.00199574,-0.00384937,4.13E-06,-0.00223047,-0.00324741,-0.00088079,0.000879028,-0.000359069,-0.00293064,-0.00240356,-0.00143338,0.00523587,0.00190985,0.00256811,-0.000751409,0.000838995,-0.00354444,0.00152417,-0.000475558,0.000437914,-0.000855092,0.00214765,0.00186342,-0.00504306,0.00163238,-0.00396786,-0.00111173,-0.00220628,0.00344232,0.00234472,0.000455996,0.00121207,0.000146545,-0.000142188,0.00131529,-0.00430817,-0.00241477,-0.000682564,-0.00473854,0.000293535,0.00136239,-0.00201818,-0.00175353,-0.000210591,0.00157357,0.000954444,-0.00215114,0.000482664,0.000347649,0.00245378,0.0023623,0.00197897,0.000858288,-0.000539159,-0.00349639,-0.000840019,0.000420541,0.00152041,-0.00186787,-0.00102257,-0.00063951,0.00325157,0.000753106,0.000299847,-0.0021481,0.000700913,-0.00175175,-0.000499962,0.000828158,0.00164478,-0.00339795,0.00169429,0.000706501,-0.00198915,4.45E-05,-0.000664342,-4.17E-05,-0.00132315,0.00254822,0.000801572,0.00066272,-0.00010979,-0.000935383,0.000403059,0.00297458,0.00122986,0.00199735,0.00151489,0.00542052,-0.000496578,-0.000812273,-0.00128808,0.00138804,2.61E-05,-0.00154618,0.00374657,0.000730402,-0.00158823,0.00178503,-0.000456943,0.00047015,-0.00128497,-0.000114603,-0.000344325,0.00154687,0.000756505,0.00491842,0.00112692,-0.00277689,1.32E-05,-0.000340215,0.00239672,0.000565827,0.00329217,0.00170944,-0.000950513,-0.000933681,0.00173587,-0.00199261,-0.00402172,7.64E-05,-0.000745455,-0.000906628,-0.00168403,0.000331596,-0.000107387,0.00168218,-0.00105823,0.000836624,0.00218996,0.00106776,-0.000598163,0.000703361,0.00076168,-0.00180249,-0.00165656,-0.000609482,-0.000549243,0.00132395,0.000503115,0.000143048,0.00241937,0.00147687,-0.00107877,0.000504306,-0.00316027,-0.000467558,0.00106664,-0.00223472,-0.00109649,-0.00230709,-0.000935874,-0.000934986,0.00410364,-0.00411958,0.00212927,-0.00140861,-7.06E-05,0.00019116,-0.000813067,-0.00151096,0.00110517,-0.0016931,-1.08E-05,-0.00193466,0.000758388,0.000753052,-0.000497247,0.00317204,0.00076557,0.0001571,-0.000806927,0.00243402,0.000314163,-0.000566872,0.00154877,-0.000963904,0.00479888,0.0018128,0.000343548,-0.000175704,0.000823358,-0.00188297,0.0046498,0.000811203,-0.00184663,-0.000535114,0.000780264,-0.000247933,0.00256095,-0.00455756,-0.00131834,-0.00291836,-0.00199595,-0.000638278,-0.00290806,0.00120792,0.0014427,-0.000488439,0.00204996,7.95E-16,0.0021782,0.00112465,-0.000918638,0.000264762,0.000241533,-0.00137212,-0.00234417,0.000714881,0.000645575,0.0011286,-4.32E-05,-0.00141548,0.00141746,-0.00260415,-3.94E-06,-0.00400287,-0.00284783,-0.000674598,-0.000513389,0.00106027,0.000721322,-0.00421138,-0.00258554,0.000339559,0.000400306,-0.00205751,-0.000208957,0.00343791,-0.000265535,-0.00222192,7.24E-05,0.000619445,0.00268619,0.000281475,-0.00104946,0.00276343,0.000209405,0.000262053,0.000891275,-0.00321271,0.00440379,-0.0019521,0.00418024,0.00407019,-0.00156201,0.00300626,-0.000466633,-0.00234653,-0.0015222,0.00387602,-0.00520873,-0.00224634,-0.00311511,0.00169307,0.00361319,-0.00106275,-0.00191044,0.00019386,-0.0011741,0.00235807,0.00462277,-0.00190481,-0.00195099,0.00522201,0.000846705,-8.10E-06,0.00182132,-0.00129134,-0.000430188,-0.00375307,0.00186717,-0.000666666,0.00797964,0.00114378,-0.00202424,0.000561665,0.00324117,-0.00131419,0.00162468,0.00148566,0.000323064,-0.00134105,-0.00222237,0.000963849,0.00499627,0.00342646,0.00172957,-0.0022171,-0.000131094,-0.00362327,0.00302096,0.00293527,0.000208672,-0.000872546,-0.000584185,0.000900201,-0.000896447,-0.000415843,0.000208972,-5.77E-05,0.00150056,-5.42E-05,-0.00117263,0.00300837,0.000507765,-0.000584868,-0.00115421,-0.000594819,-0.00108859,-0.00244302,0.00244957,0.00200184,0.00455586,-0.000480893,0.00142814,-0.000490623,-0.00202995,-0.00454127,0.000634407,0.00250252,0.00222908,0.00413562
Populus_tremula,1,1200,2.611,4.09365,0.833946,0.857301,0.869316,0.888396,0.904795,0.923184,0.946413,0.972289,0.993302,1.01635,1.04185,1.06213,1.08597,1.10622,1.13094,1.1646,1.18605,1.20404,1.22939,1.25465,1.27076,1.28814,1.3135,1.32958,1.35024,1.36732,1.37936,1.39257,1.40698,1.41299,1.41877,1.4224,1.43182,1.43206,1.44695,1.446,1.44453,1.44876,1.44262,1.45,1.44437,1.44764,1.44323,1.44164,1.44346,1.44616,1.4479,1.44726,1.4501,1.44788,1.44807,1.44668,1.45434,1.45378,1.45743,1.46105,1.46871,1.47153,1.47563,1.47691,1.48966,1.49489,1.49119,1.49991,1.50543,1.51486,1.52008,1.52428,1.53483,1.54395,1.55666,1.56578,1.58028,1.57875,1.58766,1.59695,1.6145,1.62709,1.63773,1.64825,1.66459,1.67311,1.69,1.69597,1.70808,1.71888,1.73325,1.74119,1.75828,1.77045,1.78668,1.80996,1.82589,1.83744,1.86067,1.87019,1.88331,1.9095,1.93039,1.94167,1.96903,1.99199,2.02718,2.04089,2.07197,2.09791,2.11732,2.145,2.17488,2.19875,2.22846,2.26627,2.28885,2.3361,2.36838,2.39413,2.42058,2.45753,2.47742,2.5063,2.55099,2.5976,2.62663,2.66072,2.69636,2.73664,2.78502,2.8178,2.8436,2.87831,2.90522,2.95377,3.00314,3.03907,3.088,3.13704,3.17291,3.23336,3.27525,3.33801,3.38308,3.43299,3.48272,3.51454,3.55431,3.59238,3.64091,3.682,3.72269,3.7556,3.77633,3.82027,3.83273,3.85879,3.85864,3.89002,3.90273,3.92748,3.93759,3.94216,3.95036,3.94189,3.97437,3.96934,3.96816,3.95769,3.95247,3.94136,3.94203,3.93078,3.9192,3.89984,3.8883,3.8711,3.84071,3.82338,3.79519,3.77288,3.72641,3.69888,3.65869,3.60954,3.56621,3.53423,3.48838,3.44545,3.40595,3.35899,3.32682,3.27385,3.23686,3.19248,3.1434,3.09453,3.0546,3.01063,2.96464,2.9413,2.88933,2.84618,2.7958,2.75112,2.71934,2.6656,2.61895,2.58675,2.53829,2.49593,2.46106,2.41648,2.38338,2.33984,2.30298,2.26445,2.22687,2.19641,2.16478,2.12625,2.09001,2.05523,2.02363,1.98685,1.97323,1.93623,1.9062,1.88391,1.8563,1.83729,1.80966,1.79063,1.75859,1.72022,1.68737,1.65445,1.62114,1.57751,1.56535,1.55994,1.53345,1.51709,1.49706,1.45672,1.43876,1.41152,1.38806,1.35867,1.34115,1.31923,1.30262,1.28334,1.25731,1.22822,1.20053,1.19022,1.16426,1.14406,1.12806,1.10169,1.08034,1.06177,1.03956,1.01702,1.00129,0.981806,0.97129,0.950412,0.938461,0.921641,0.902216,0.887675,0.867636,0.860767,0.8491,0.835211,0.812441,0.796895,0.787296,0.77566,0.762356,0.744787,0.743978,0.726171,0.712296,0.699463,0.688516,0.68337,0.677535,0.670323,0.657613,0.645995,0.634089,0.632509,0.618853,0.615959,0.607308,0.597121,0.591206,0.584189,0.579919,0.569808,0.566711,0.560585,0.550617,0.546895,0.544522,0.53651,0.53302,0.529145,0.520591,0.516148,0.514637,0.509086,0.50501,0.51008,0.498797,0.493912,0.493178,0.490321,0.486912,0.479524,0.478772,0.468241,0.468068,0.466205,0.457691,0.459196,0.461046,0.456983,0.453341,0.451532,0.451686,0.446631,0.442306,0.441773,0.436076,0.435869,0.435537,0.434133,0.432898,0.422337,0.425092,0.426056,0.41967,0.414977,0.421326,0.411865,0.411147,0.408258,0.406936,0.404837,0.404936,0.394535,0.401312,0.403427,0.388826,0.396978,0.384076,0.391892,0.378498,0.385786,0.384728,0.380757,0.380427,0.379554,0.369086,0.371244,0.375865,0.368983,0.364083,0.366359,0.361874,0.362633,0.360597,0.357351,0.350997,0.357052,0.351705,0.345785,0.352145,0.348696,0.341878,0.343532,0.339406,0.339533,0.338276,0.335005,0.332514,0.333943,0.339809,0.330703,0.331955,0.333541,0.328655,0.323898,0.319721,0.31676,0.31608,0.313076,0.311297,0.308799,0.305417,0.305703,0.305195,0.303903,0.296596,0.29663,0.298392,0.29672,0.293452,0.287388,0.285401,0.289198,0.285528,0.282586,0.276456,0.275703,0.280564,0.279674,0.278523,0.272083,0.273892,0.27067,0.267805,0.266224,0.267201,0.265553,0.264642,0.26433,0.263849,0.262203,0.262568,0.252313,0.255854,0.253046,0.250179,0.247673,0.243515,0.246439,0.238395,0.237562,0.239204,0.239034,0.236416,0.235978,0.233604,0.227744,0.230951,0.225161,0.225271,0.224283,0.22696,0.220768,0.226536,0.218215,0.223227,0.223074,0.215101,0.2204,0.213521,0.212949,0.216249,0.209698,0.21017,0.213535,0.210968,0.210523,0.204502,0.206446,0.211706,0.203185,0.201874,0.20079,0.205667,0.2013,0.203182,0.19722,0.200539,0.196726,0.194327,0.195845,0.194404,0.189077,0.199749,0.196428
