%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=215607, 2022/07/22 14:37:54.08)
1 7 1.604509e+02 1.090822e+00 2.497702e-01 2.497702e-01 1.090822e+00 
2 13 1.546843e+02 9.780140e-01 2.466587e-01 2.466587e-01 9.780140e-01 
3 19 1.089288e+02 8.958478e-01 2.203179e-01 2.203179e-01 8.958478e-01 
4 25 1.366761e+02 8.228716e-01 2.791069e-01 2.791069e-01 8.228716e-01 
5 31 1.278700e+02 7.913952e-01 2.526882e-01 2.526882e-01 7.913952e-01 
6 37 1.018317e+02 7.309720e-01 2.248032e-01 2.248032e-01 7.309720e-01 
7 43 7.870454e+01 6.576642e-01 2.049210e-01 2.049210e-01 6.576642e-01 
8 49 6.114911e+01 5.913293e-01 1.860724e-01 1.860724e-01 5.913293e-01 
9 55 4.708665e+01 5.266699e-01 1.678830e-01 1.678830e-01 5.266699e-01 
10 61 4.395715e+01 4.712020e-01 1.670735e-01 1.670735e-01 4.712020e-01 
11 67 3.313751e+01 4.224118e-01 1.544754e-01 1.544754e-01 4.224118e-01 
12 73 3.329635e+01 3.997017e-01 1.537662e-01 1.537662e-01 3.997017e-01 
13 79 3.012753e+01 3.564786e-01 1.462630e-01 1.462630e-01 3.564786e-01 
14 85 2.646275e+01 3.385502e-01 1.320819e-01 1.320819e-01 3.385502e-01 
15 91 2.222576e+01 3.202568e-01 1.177025e-01 1.177025e-01 3.202568e-01 
16 97 1.881503e+01 3.084678e-01 1.082164e-01 1.082164e-01 3.084678e-01 
17 103 1.459361e+01 2.775200e-01 9.754069e-02 9.754069e-02 2.775200e-01 
18 109 1.508115e+01 2.499806e-01 1.075947e-01 1.075947e-01 2.499806e-01 
19 115 1.202504e+01 2.229967e-01 9.746948e-02 9.746948e-02 2.229967e-01 
20 121 1.040633e+01 2.098567e-01 9.080734e-02 9.080734e-02 2.098567e-01 
21 127 9.275972e+00 1.945403e-01 8.449350e-02 8.449350e-02 1.945403e-01 
22 133 8.203533e+00 1.896153e-01 7.872233e-02 7.872233e-02 1.896153e-01 
23 139 6.336793e+00 1.690067e-01 7.111203e-02 7.111203e-02 1.690067e-01 
24 145 5.317388e+00 1.522396e-01 6.553782e-02 6.553782e-02 1.522396e-01 
25 151 3.977785e+00 1.367587e-01 5.862383e-02 5.862383e-02 1.367587e-01 
26 157 2.939941e+00 1.222362e-01 5.219391e-02 5.219391e-02 1.222362e-01 
27 163 2.133628e+00 1.091381e-01 4.659164e-02 4.659164e-02 1.091381e-01 
28 169 1.571690e+00 9.688842e-02 4.169880e-02 4.169880e-02 9.688842e-02 
29 175 1.147737e+00 8.637967e-02 3.773207e-02 3.773207e-02 8.637967e-02 
30 181 9.336507e-01 7.852702e-02 3.403906e-02 3.403906e-02 7.852702e-02 
31 187 8.076648e-01 7.354333e-02 3.057110e-02 3.057110e-02 7.354333e-02 
32 193 6.857975e-01 6.652810e-02 2.868160e-02 2.868160e-02 6.652810e-02 
33 199 5.920705e-01 6.379312e-02 2.565021e-02 2.565021e-02 6.379312e-02 
34 205 4.674691e-01 5.839846e-02 2.341918e-02 2.341918e-02 5.839846e-02 
35 211 3.482066e-01 5.252834e-02 2.135813e-02 2.135813e-02 5.252834e-02 
36 217 2.687520e-01 4.707274e-02 1.915235e-02 1.915235e-02 4.707274e-02 
37 223 2.341880e-01 4.229623e-02 1.849383e-02 1.849383e-02 4.229623e-02 
38 229 2.194459e-01 3.897457e-02 1.773309e-02 1.773309e-02 3.897457e-02 
39 235 1.842178e-01 3.549487e-02 1.673290e-02 1.673290e-02 3.549487e-02 
40 241 1.379813e-01 3.233287e-02 1.498022e-02 1.498022e-02 3.233287e-02 
41 247 1.193671e-01 3.040307e-02 1.340156e-02 1.340156e-02 3.040307e-02 
42 253 9.775557e-02 2.716408e-02 1.233069e-02 1.233069e-02 2.716408e-02 
43 259 7.182599e-02 2.425621e-02 1.097221e-02 1.097221e-02 2.425621e-02 
44 265 6.276453e-02 2.272606e-02 1.011359e-02 1.011359e-02 2.272606e-02 
45 271 5.365136e-02 2.104581e-02 9.289424e-03 9.289424e-03 2.104581e-02 
46 277 4.974323e-02 1.874183e-02 9.216159e-03 9.216159e-03 1.874183e-02 
47 283 3.927875e-02 1.667317e-02 8.309000e-03 8.309000e-03 1.667317e-02 
48 289 2.899465e-02 1.495529e-02 7.403294e-03 7.403294e-03 1.495529e-02 
49 295 2.404858e-02 1.343493e-02 6.849409e-03 6.849409e-03 1.343493e-02 
50 301 2.314334e-02 1.216084e-02 6.953855e-03 6.953855e-03 1.216084e-02 
51 307 1.832742e-02 1.096590e-02 6.397990e-03 6.397990e-03 1.096590e-02 
52 313 1.440278e-02 1.008403e-02 5.725201e-03 5.725201e-03 1.008403e-02 
53 319 1.209888e-02 9.429791e-03 5.133018e-03 5.133018e-03 9.429791e-03 
54 325 1.375121e-02 8.405307e-03 5.982014e-03 5.982014e-03 8.405307e-03 
55 331 1.019842e-02 7.502227e-03 5.420840e-03 5.420840e-03 7.502227e-03 
56 337 7.262584e-03 6.862454e-03 4.846607e-03 4.846607e-03 6.862454e-03 
57 343 6.652030e-03 6.169740e-03 4.696524e-03 4.696524e-03 6.169740e-03 
58 349 5.610729e-03 5.545088e-03 4.482982e-03 4.482982e-03 5.545088e-03 
59 355 4.850740e-03 5.162693e-03 4.135140e-03 4.135140e-03 5.162693e-03 
60 361 4.085000e-03 4.605483e-03 3.843732e-03 3.843732e-03 4.605483e-03 
