%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=215607, 2022/07/22 14:37:54.08)
1 7  6.690079334942631739e+00 0 0 2.837159e+01 -8.695739e+01 
2 13  9.035367660733463424e+00 0 0 5.771051e+01 -6.776650e+01 
3 19  7.167249063024746292e+00 0 0 5.025441e+01 5.330019e+01 
4 25  5.039685681381198989e+00 0 0 1.952004e+01 -5.188609e+01 
5 31  9.677540610675642085e+00 0 0 6.325492e+01 -1.115650e+02 
6 37  7.807432726465181716e+00 0 0 4.169849e+01 -1.939826e+00 
7 43  6.482110017523868173e+00 0 0 2.732592e+01 4.214126e+01 
8 49  4.881037868055882356e+00 0 0 2.470176e+01 5.327973e+01 
9 55  4.755042380938133917e+00 0 0 2.624545e+01 5.901349e+01 
10 61  3.873464164725495262e+00 0 0 2.215528e+01 5.917334e+01 
11 67  6.545157060635223623e+00 0 0 2.762659e+01 1.218331e+01 
12 73  4.035508880187585135e+00 0 0 1.928241e+01 5.942643e+01 
13 79  3.736570343864317412e+00 0 0 2.042988e+01 5.842355e+01 
14 85  3.819376151854757317e+00 0 0 1.960614e+01 5.745921e+01 
15 91  3.841703867193404065e+00 0 0 2.124701e+01 5.525445e+01 
16 97  4.544070979484166273e+00 0 0 1.915375e+01 6.308859e+01 
17 103  3.986452170969956299e+00 0 0 1.940950e+01 5.922530e+01 
18 109  3.754893871210463807e+00 0 0 2.143654e+01 5.870184e+01 
19 115  3.746817150575716848e+00 0 0 1.993797e+01 5.704095e+01 
20 121  3.942062068849190748e+00 0 0 2.117275e+01 5.451661e+01 
21 127  3.729380920910595254e+00 0 0 2.154494e+01 5.774805e+01 
22 133  3.775006318199238375e+00 0 0 2.152483e+01 5.617501e+01 
23 139  3.691036891182661872e+00 0 0 2.089750e+01 5.724378e+01 
24 145  3.691357234385428843e+00 0 0 2.066323e+01 5.741847e+01 
25 151  3.692345213301245987e+00 0 0 2.066710e+01 5.714005e+01 
26 157  3.690826363777661712e+00 0 0 2.079397e+01 5.718239e+01 
27 163  3.690278695934472442e+00 0 0 2.084366e+01 5.726194e+01 
28 169  3.689769165343383950e+00 0 0 2.078578e+01 5.734062e+01 
29 175  3.689711223247934768e+00 0 0 2.082315e+01 5.737684e+01 
30 181  3.689703839936550711e+00 0 0 2.081971e+01 5.739841e+01 
31 187  3.689707133676902728e+00 0 0 2.082274e+01 5.738329e+01 
32 193  3.689710648482736222e+00 0 0 2.079444e+01 5.739503e+01 
33 199  3.689701555144347722e+00 0 0 2.080634e+01 5.736551e+01 
34 205  3.689701807218125129e+00 0 0 2.079902e+01 5.739466e+01 
35 211  3.689699164173955381e+00 0 0 2.081742e+01 5.739537e+01 
36 217  3.689691810144424267e+00 0 0 2.080871e+01 5.738066e+01 
37 223  3.689693290267221926e+00 0 0 2.080430e+01 5.737824e+01 
38 229  3.689692424456682662e+00 0 0 2.080606e+01 5.738944e+01 
39 235  3.689691839939742035e+00 0 0 2.080917e+01 5.738923e+01 
40 241  3.689691375334013035e+00 0 0 2.080723e+01 5.738394e+01 
41 247  3.689691324278305373e+00 0 0 2.080756e+01 5.738448e+01 
42 253  3.689691292622236052e+00 0 0 2.080797e+01 5.738478e+01 
43 259  3.689691294809362088e+00 0 0 2.080822e+01 5.738419e+01 
44 265  3.689691330818706927e+00 0 0 2.080751e+01 5.738439e+01 
45 271  3.689691288677529268e+00 0 0 2.080817e+01 5.738508e+01 
46 277  3.689691291116645733e+00 0 0 2.080859e+01 5.738477e+01 
47 283  3.689691286110780677e+00 0 0 2.080838e+01 5.738463e+01 
48 289  3.689691286348539379e+00 0 0 2.080842e+01 5.738497e+01 
49 295  3.689691285336223814e+00 0 0 2.080823e+01 5.738466e+01 
50 301  3.689691287679355725e+00 0 0 2.080842e+01 5.738457e+01 
51 307  3.689691284850323161e+00 0 0 2.080828e+01 5.738471e+01 
52 313  3.689691285702204393e+00 0 0 2.080837e+01 5.738466e+01 
53 319  3.689691284972518748e+00 0 0 2.080834e+01 5.738489e+01 
54 325  3.689691284694109452e+00 0 0 2.080828e+01 5.738482e+01 
55 331  3.689691284783182645e+00 0 0 2.080834e+01 5.738484e+01 
56 337  3.689691284769179180e+00 0 0 2.080834e+01 5.738477e+01 
57 343  3.689691284631719359e+00 0 0 2.080829e+01 5.738480e+01 
58 349  3.689691284671140270e+00 0 0 2.080832e+01 5.738480e+01 
59 355  3.689691284634849300e+00 0 0 2.080831e+01 5.738480e+01 
60 361  3.689691284633329182e+00 0 0 2.080830e+01 5.738481e+01 
61 367  3.689691284629881274e+00 0 0 2.080830e+01 5.738480e+01 
62 373  3.689691284631306800e+00 0 0 2.080829e+01 5.738479e+01 
63 379  3.689691284630278290e+00 0 0 2.080830e+01 5.738479e+01 
64 385  3.689691284630152168e+00 0 0 2.080830e+01 5.738479e+01 
65 391  3.689691284630935098e+00 0 0 2.080829e+01 5.738479e+01 
66 397  3.689691284629739609e+00 0 0 2.080830e+01 5.738479e+01 
67 403  3.689691284629855073e+00 0 0 2.080830e+01 5.738480e+01 
68 409  3.689691284629589063e+00 0 0 2.080830e+01 5.738480e+01 
