%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=215607, 2022/07/22 14:37:54.08)
1 7 1.604509e+02 4.367302e+00  6.690079334942631739e+00  6.690079334942631739e+00  1.545785801748698773e+01  3.347825313830668392e+01
2 13 1.546843e+02 3.965049e+00  6.690079334942631739e+00  9.035367660733463424e+00  1.407099039826436737e+01  1.547055385268696348e+01
3 19 1.089288e+02 4.066160e+00  6.690079334942631739e+00  7.167249063024746292e+00  1.188381393297254363e+01  6.614203840116523736e+01
4 25 1.366761e+02 2.948231e+00  5.039685681381198989e+00  5.039685681381198989e+00  1.123575333313195301e+01  4.666189469719669347e+01
5 31 1.278700e+02 3.131904e+00  5.039685681381198989e+00  9.677540610675642085e+00  1.437972544800712527e+01  3.456540227774893737e+01
6 37 1.018317e+02 3.251609e+00  5.039685681381198989e+00  7.807432726465181716e+00  1.164666988701590000e+01  2.946520766880277620e+01
7 43 7.870454e+01 3.209355e+00  5.039685681381198989e+00  6.482110017523868173e+00  8.809751859962926090e+00  3.003656351585751949e+01
8 49 6.114911e+01 3.177952e+00  4.881037868055882356e+00  4.881037868055882356e+00  8.380616523208464841e+00  1.211386320124061555e+01
9 55 4.708665e+01 3.137125e+00  4.755042380938133917e+00  4.755042380938133917e+00  7.218051076165902913e+00  1.128614224260117105e+01
10 61 4.395715e+01 2.820328e+00  3.873464164725495262e+00  3.873464164725495262e+00  7.105659729766029109e+00  1.916038372275736634e+01
11 67 3.313751e+01 2.734493e+00  3.873464164725495262e+00  6.545157060635223623e+00  7.467053305660798834e+00  1.661978532270812181e+01
12 73 3.329635e+01 2.599412e+00  3.873464164725495262e+00  4.035508880187585135e+00  5.661559964298809255e+00  8.946011445605588364e+00
13 79 3.012753e+01 2.437244e+00  3.736570343864317412e+00  3.736570343864317412e+00  5.212323441238272181e+00  9.861557487818970458e+00
14 85 2.646275e+01 2.563185e+00  3.736570343864317412e+00  3.819376151854757317e+00  5.077104968010813124e+00  9.705573759441199044e+00
15 91 2.222576e+01 2.720901e+00  3.736570343864317412e+00  3.841703867193404065e+00  5.045495943271320449e+00  8.098248900570983011e+00
